cell,outer_K,prompt,prompt_ordinal,Z1_target_new_nll,longer_target_new_nll,longer_minus_Z1,winner_lower_nll
Z15,1,rewrite,0,10.274020195007324,7.060070037841797,-3.2139501571655273,Z15
Z15,1,rewrite,1,6.815540790557861,1.1843907833099365,-5.631150007247925,Z15
Z15,1,rewrite,2,7.601445198059082,4.260787487030029,-3.3406577110290527,Z15
Z15,1,rewrite,3,9.036478996276855,4.861083984375,-4.1753950119018555,Z15
Z15,1,rewrite,4,2.1089563369750977,1.3193062543869019,-0.7896500825881958,Z15
Z15,1,rewrite,5,7.315792560577393,3.1324210166931152,-4.183371543884277,Z15
Z15,1,rewrite,6,9.76264762878418,6.706469535827637,-3.056178092956543,Z15
Z15,1,rewrite,7,4.8528876304626465,1.5627317428588867,-3.2901558876037598,Z15
Z15,1,rewrite,8,14.7185640335083,6.867438316345215,-7.851125717163086,Z15
Z15,1,rewrite,9,9.840048789978027,7.17178201675415,-2.668266773223877,Z15
Z15,1,rewrite,10,4.043056011199951,2.9711732864379883,-1.071882724761963,Z15
Z15,1,rewrite,11,6.49678373336792,4.068583011627197,-2.4282007217407227,Z15
Z15,1,rewrite,12,13.461668014526367,10.70970344543457,-2.751964569091797,Z15
Z15,1,rewrite,13,2.760652542114258,1.2844090461730957,-1.476243495941162,Z15
Z15,1,rewrite,14,7.153114318847656,5.093233108520508,-2.0598812103271484,Z15
Z15,1,rewrite,15,9.657853126525879,6.2168354988098145,-3.4410176277160645,Z15
Z15,1,rewrite,16,3.730541944503784,1.839036226272583,-1.8915057182312012,Z15
Z15,1,rewrite,17,12.252281188964844,6.180661678314209,-6.071619510650635,Z15
Z15,1,rewrite,18,13.949687004089355,10.76441478729248,-3.185272216796875,Z15
Z15,1,rewrite,19,6.52898645401001,4.488918304443359,-2.0400681495666504,Z15
Z15,1,rewrite,20,4.431385040283203,3.367490530014038,-1.063894510269165,Z15
Z15,1,rewrite,21,6.182796955108643,4.7927703857421875,-1.390026569366455,Z15
Z15,1,rewrite,22,4.941462516784668,2.8326847553253174,-2.1087777614593506,Z15
Z15,1,rewrite,23,8.587918281555176,4.212765216827393,-4.375153064727783,Z15
Z15,1,rewrite,24,10.674758911132812,9.605555534362793,-1.0692033767700195,Z15
Z15,1,rewrite,25,9.27779483795166,6.370096206665039,-2.907698631286621,Z15
Z15,1,rewrite,26,6.892884254455566,6.195448398590088,-0.6974358558654785,Z15
Z15,1,rewrite,27,2.851120710372925,1.6435075998306274,-1.2076131105422974,Z15
Z15,1,rewrite,28,1.7137500047683716,0.7807169556617737,-0.9330330491065979,Z15
Z15,1,rewrite,29,9.017082214355469,5.52854061126709,-3.488541603088379,Z15
Z15,1,rewrite,30,8.406097412109375,6.487015724182129,-1.919081687927246,Z15
Z15,1,rewrite,31,10.465126991271973,6.395558834075928,-4.069568157196045,Z15
Z15,1,rewrite,32,7.26817512512207,4.625059127807617,-2.643115997314453,Z15
Z15,1,rewrite,33,2.2224812507629395,0.6010096669197083,-1.6214715838432312,Z15
Z15,1,rewrite,34,8.027962684631348,3.4915871620178223,-4.536375522613525,Z15
Z15,1,rewrite,35,6.5671162605285645,3.925658702850342,-2.6414575576782227,Z15
Z15,1,rewrite,36,11.147138595581055,8.616897583007812,-2.530241012573242,Z15
Z15,1,rewrite,37,13.277083396911621,11.607795715332031,-1.6692876815795898,Z15
Z15,1,rewrite,38,7.321267127990723,3.4288761615753174,-3.8923909664154053,Z15
Z15,1,rewrite,39,1.2303197383880615,0.41709885001182556,-0.813220888376236,Z15
Z15,1,rewrite,40,2.862982749938965,2.149454116821289,-0.7135286331176758,Z15
Z15,1,rewrite,41,9.317008972167969,6.158859729766846,-3.158149242401123,Z15
Z15,1,rewrite,42,6.409238815307617,3.2107326984405518,-3.1985061168670654,Z15
Z15,1,rewrite,43,1.7605783939361572,1.519605040550232,-0.2409733533859253,Z15
Z15,1,rewrite,44,4.367775917053223,0.5228182673454285,-3.844957649707794,Z15
Z15,1,rewrite,45,5.658021926879883,3.6243107318878174,-2.0337111949920654,Z15
Z15,1,rewrite,46,8.330900192260742,4.387322425842285,-3.943577766418457,Z15
Z15,1,rewrite,47,14.509783744812012,10.354586601257324,-4.1551971435546875,Z15
Z15,1,rewrite,48,4.626165390014648,2.848646640777588,-1.7775187492370605,Z15
Z15,1,rewrite,49,8.791739463806152,5.677332401275635,-3.1144070625305176,Z15
Z15,1,rewrite,50,6.336979389190674,5.8089494705200195,-0.5280299186706543,Z15
Z15,1,rewrite,51,5.2776947021484375,3.7044389247894287,-1.5732557773590088,Z15
Z15,1,rewrite,52,4.559605598449707,3.3742566108703613,-1.1853489875793457,Z15
Z15,1,rewrite,53,9.083871841430664,4.057003974914551,-5.026867866516113,Z15
Z15,1,rewrite,54,10.172497749328613,7.513651371002197,-2.658846378326416,Z15
Z15,1,rewrite,55,7.403136730194092,5.88376522064209,-1.519371509552002,Z15
Z15,1,rewrite,56,10.831151008605957,4.705478191375732,-6.125672817230225,Z15
Z15,1,rewrite,57,3.9168264865875244,2.6720900535583496,-1.2447364330291748,Z15
Z15,1,rewrite,58,8.800728797912598,2.47436261177063,-6.326366186141968,Z15
Z15,1,rewrite,59,6.551548480987549,4.75546932220459,-1.796079158782959,Z15
Z15,1,rewrite,60,12.975600242614746,11.160752296447754,-1.8148479461669922,Z15
Z15,1,rewrite,61,6.0995707511901855,2.4981689453125,-3.6014018058776855,Z15
Z15,1,rewrite,62,11.830662727355957,8.984345436096191,-2.8463172912597656,Z15
Z15,1,rewrite,63,8.097016334533691,3.8165066242218018,-4.28050971031189,Z15
Z15,1,rewrite,64,8.26425838470459,3.9888381958007812,-4.275420188903809,Z15
Z15,1,rewrite,65,5.642268180847168,2.5595669746398926,-3.0827012062072754,Z15
Z15,1,rewrite,66,9.73460578918457,8.929275512695312,-0.8053302764892578,Z15
Z15,1,rewrite,67,14.185184478759766,8.275997161865234,-5.909187316894531,Z15
Z15,1,rewrite,68,3.8621273040771484,1.5274302959442139,-2.3346970081329346,Z15
Z15,1,rewrite,69,3.7576756477355957,2.166400909423828,-1.5912747383117676,Z15
Z15,1,rewrite,70,11.450873374938965,7.39208459854126,-4.058788776397705,Z15
Z15,1,rewrite,71,7.588564395904541,2.240114212036133,-5.348450183868408,Z15
Z15,1,rewrite,72,5.947934627532959,1.5311055183410645,-4.4168291091918945,Z15
Z15,1,rewrite,73,2.688474655151367,1.7199323177337646,-0.9685423374176025,Z15
Z15,1,rewrite,74,2.932236671447754,1.3148493766784668,-1.617387294769287,Z15
Z15,1,rewrite,75,11.257755279541016,6.27783203125,-4.979923248291016,Z15
Z15,1,rewrite,76,3.4177262783050537,1.233957052230835,-2.1837692260742188,Z15
Z15,1,rewrite,77,9.133380889892578,6.707880973815918,-2.42549991607666,Z15
Z15,1,rewrite,78,4.2928595542907715,1.8982717990875244,-2.394587755203247,Z15
Z15,1,rewrite,79,5.794281005859375,2.6152443885803223,-3.1790366172790527,Z15
Z15,1,rewrite,80,6.250951766967773,2.8973336219787598,-3.3536181449890137,Z15
Z15,1,rewrite,81,8.4867525100708,6.952820777893066,-1.5339317321777344,Z15
Z15,1,rewrite,82,6.825764179229736,3.290769338607788,-3.5349948406219482,Z15
Z15,1,rewrite,83,7.045853614807129,1.9463932514190674,-5.0994603633880615,Z15
Z15,1,rewrite,84,7.413622856140137,5.824497699737549,-1.589125156402588,Z15
Z15,1,rewrite,85,3.747185230255127,1.4815948009490967,-2.2655904293060303,Z15
Z15,1,rewrite,86,4.150076866149902,2.837784767150879,-1.3122920989990234,Z15
Z15,1,rewrite,87,14.098294258117676,9.200467109680176,-4.8978271484375,Z15
Z15,1,rewrite,88,7.410036087036133,2.773378849029541,-4.636657238006592,Z15
Z15,1,rewrite,89,9.686717987060547,4.630969047546387,-5.05574893951416,Z15
Z15,1,rewrite,90,9.717823028564453,6.477238655090332,-3.240584373474121,Z15
Z15,1,rewrite,91,2.7817509174346924,1.6714439392089844,-1.110306978225708,Z15
Z15,1,rewrite,92,13.8616943359375,11.721230506896973,-2.1404638290405273,Z15
Z15,1,rewrite,93,4.453265190124512,2.9967479705810547,-1.456517219543457,Z15
Z15,1,rewrite,94,7.938354015350342,6.056548118591309,-1.8818058967590332,Z15
Z15,1,rewrite,95,14.573135375976562,8.217635154724121,-6.355500221252441,Z15
Z15,1,rewrite,96,1.4067250490188599,0.8506990075111389,-0.556026041507721,Z15
Z15,1,rewrite,97,7.490390300750732,6.445199012756348,-1.0451912879943848,Z15
Z15,1,rewrite,98,7.786870002746582,5.649291038513184,-2.1375789642333984,Z15
Z15,1,rewrite,99,8.270370483398438,5.848511695861816,-2.421858787536621,Z15
Z15,1,rephrase,0,3.518043041229248,3.082487106323242,-0.43555593490600586,Z15
Z15,1,rephrase,1,12.614789009094238,12.612724304199219,-0.0020647048950195312,Z15
Z15,1,rephrase,2,6.26103401184082,1.4278106689453125,-4.833223342895508,Z15
Z15,1,rephrase,3,2.485783338546753,0.4232177138328552,-2.0625656247138977,Z15
Z15,1,rephrase,4,7.816317558288574,4.379910945892334,-3.4364066123962402,Z15
Z15,1,rephrase,5,12.04051399230957,8.762853622436523,-3.277660369873047,Z15
Z15,1,rephrase,6,12.781929016113281,10.754498481750488,-2.027430534362793,Z15
Z15,1,rephrase,7,12.138615608215332,8.335973739624023,-3.8026418685913086,Z15
Z15,1,rephrase,8,3.8438973426818848,2.628983974456787,-1.2149133682250977,Z15
Z15,1,rephrase,9,4.183740615844727,2.993116855621338,-1.1906237602233887,Z15
Z15,1,rephrase,10,9.490118980407715,5.951521873474121,-3.5385971069335938,Z15
