cell,outer_K,rewrite_W_minus_z_target_new_nll,rephrase_W_minus_z_target_new_nll,accepted_z_locality_numerator,accepted_z_locality_denominator,post_W_locality_numerator,post_W_locality_denominator,writer_edit_core_wall_seconds,writer_layer_apply_count,native_compute_z_call_count,cache_status
Z1-REFINE,1,-0.3185748887062072,0.2088321097195145,893,1000,890,1000,47.938702213577926,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z1-REFINE,4,-0.0015330834637279633,1.0321818665973843,886,1000,886,1000,45.461896216496825,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z1-REFINE,8,-4.2680381739046425e-05,0.9308588786685144,892,1000,892,1000,45.58979086577892,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z15,1,-0.20164101272821444,0.6892073969915513,893,1000,890,1000,46.610769437626004,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z15,4,-0.00024232231575297206,0.9988636202138148,887,1000,892,1000,45.64564351178706,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z15,8,-1.4772871945752282e-05,0.9745138235049673,891,1000,891,1000,45.432543033733964,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z20,1,-0.04636167239397748,0.9520030511170625,893,1000,889,1000,48.333582115359604,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z20,4,-0.0001297373324632648,0.9561693504382855,891,1000,891,1000,45.72794419154525,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z20,8,-1.7163561642519545e-05,0.9386615306208841,892,1000,892,1000,45.52775261178613,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z30,1,0.00554436177015305,1.1932361828023565,893,1000,889,1000,47.59841652587056,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z30,4,-2.815477171679969e-05,0.9993446181417676,892,1000,892,1000,45.60671987198293,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
Z30,8,-5.970436759526222e-06,1.003972887863638,893,1000,894,1000,45.71450835093856,5,0,ALPHA_CACHE_BATCH_ENTRY_SNAPSHOT
