method,endpoint,prompt,success_numerator,success_denominator,accuracy_numerator,accuracy_denominator,strict_success_numerator,strict_success_denominator,strict_accuracy_numerator,strict_accuracy_denominator,target_new_mean,target_new_median,target_new_p90,target_new_max,target_true_mean,target_true_median,target_true_p90,target_true_max
Official AlphaEdit-cache,accepted_z,rewrite,1000,1000,1000,1000,1000,1000,1000,1000,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,0.025194421410560608,15.196513225078583,14.896466255187988,20.951120376586914,31.449064254760742
Official AlphaEdit-cache,post_W,rewrite,1000,1000,1000,1000,1000,1000,1000,1000,0.0014925836953384533,0.0008041276014409959,0.003581777447834611,0.02607957273721695,15.100299176216126,14.8002347946167,20.819164276123047,31.112592697143555
Native MEMIT,accepted_z,rewrite,1000,1000,1000,1000,1000,1000,1000,1000,0.002096798793733342,0.000902960222447291,0.004588788375258446,0.043855756521224976,14.776315965175629,14.372349262237549,20.241044998168945,27.45424461364746
Native MEMIT,post_W,rewrite,996,1000,989,1000,996,1000,989,1000,0.07658723756304425,0.003204451175406575,0.022911004722118378,12.664019584655762,12.895130016531795,12.687969207763672,18.405181884765625,24.849830627441406
P1R54 FZ-SEQUENTIAL,accepted_z,rewrite,1000,1000,998,1000,1000,1000,998,1000,0.008817008990365138,0.0006174922455102205,0.004827629309147596,2.775531768798828,14.519902227401733,14.051020622253418,19.6837158203125,28.37030601501465
P1R54 FZ-SEQUENTIAL,post_W,rewrite,1000,1000,998,1000,1000,1000,998,1000,0.008849255667660145,0.0006179092160891742,0.0048966724425554276,2.7645864486694336,14.514567356586456,14.001203060150146,19.708972930908203,28.348249435424805
Official AlphaEdit-cache,accepted_z,rephrase,1987,2000,1631,2000,988,1000,694,1000,0.7976907307744578,0.06925876706372947,2.721581995487213,12.862534523010254,12.183187448585405,11.778221607208252,17.39711284637451,24.27603054046631
Official AlphaEdit-cache,post_W,rephrase,1948,2000,1511,2000,955,1000,613,1000,1.1592758414183608,0.2907789424061775,3.3864146806299686,13.746431350708008,10.758104332764255,10.754892110824585,15.675660133361816,23.082350730895996
Native MEMIT,accepted_z,rephrase,1980,2000,1626,2000,981,1000,689,1000,0.7717991034221341,0.0817473437928129,2.6468722596764565,12.733782768249512,11.586471787825227,11.335656642913818,16.863792419433594,24.677602767944336
Native MEMIT,post_W,rephrase,1841,2000,1344,2000,879,1000,528,1000,1.6781503709262944,0.6032406305894256,4.716974973678589,18.988174438476562,9.28681953659316,9.209508299827576,14.49013900756836,21.984386444091797
P1R54 FZ-SEQUENTIAL,accepted_z,rephrase,1933,2000,1471,2000,941,1000,591,1000,1.2650328017407673,0.06551201641559601,4.6607537269592285,21.40110969543457,10.604269796693115,10.390417098999023,16.28145980834961,27.655797958374023
P1R54 FZ-SEQUENTIAL,post_W,rephrase,1703,2000,1148,2000,761,1000,401,1000,2.343741464740332,0.6284839510917664,7.347599029541016,18.269323348999023,8.485302196355711,8.24233865737915,14.347277641296387,25.353164672851562
