batch_index,rewrite_final_minus_immediate_target_new_nll_mean,rephrase_final_minus_immediate_target_new_nll_mean,rewrite_success_to_failure,rephrase_success_to_failure
1,-0.0005316489522556367,-0.092412891754866,0,5
2,0.0032237160774423045,-0.03110109326105885,0,3
3,0.0024888322851893464,-0.08969197788319434,0,6
4,0.09261618121876382,0.0796329520189829,0,2
5,0.0005289786782486772,-0.08084719632628548,0,3
6,9.237486870006251e-05,-0.03015416050402564,0,1
7,-0.00024643078784720274,-0.06757726583367912,0,2
8,-0.0003693117097282084,-0.033260437123935845,0,0
9,-2.288154082634719e-05,-0.031693118886851154,0,0
10,0.0,0.0,0,0
