arm,surface,B,Eff,Gen,strict,Loc,rewrite_mean,rephrase_mean
FZ,z,1,1.0,0.975,0.96,0.891,0.06185388650472305,1.2815971935761992
FZ,z,2,1.0,0.99,0.98,0.918,0.03984183057793416,1.3032482863809856
FZ,z,3,0.99,0.96,0.94,0.885,0.06555822039714258,1.2363293386630538
FZ,z,4,1.0,0.965,0.93,0.842,0.043269486805220365,1.2829531664567184
FZ,z,5,1.0,0.985,0.97,0.869,0.007746921750749607,1.372112462229634
FZ,z,6,1.0,1.0,1.0,0.847,0.038202264816518436,1.2598651390420854
FZ,z,7,1.0,0.97,0.96,0.868,0.014841128724365263,1.3157961617297134
FZ,z,8,1.0,0.985,0.97,0.843,0.023058891784530716,1.4261936382998828
FZ,z,9,1.0,0.99,0.98,0.888,0.023096769029725694,1.1299188629634591
FZ,z,10,1.0,0.955,0.94,0.899,0.04787909423776,1.2716436194932612
FZ,W,1,1.0,0.915,0.86,0.886,0.06590623777112342,2.003700169032527
FZ,W,2,1.0,0.94,0.9,0.918,0.04265609167101502,1.8857773005815397
FZ,W,3,0.99,0.89,0.84,0.886,0.07048739594705694,2.0167819819079886
FZ,W,4,1.0,0.93,0.88,0.842,0.04406493738626523,1.8436220426842191
FZ,W,5,1.0,0.91,0.84,0.87,0.008238827337027032,2.07074710852743
FZ,W,6,1.0,0.935,0.88,0.845,0.03848361687119905,2.104130761454726
FZ,W,7,1.0,0.925,0.86,0.868,0.014479193785409733,1.9134546377834432
FZ,W,8,1.0,0.91,0.86,0.842,0.02175578937190039,2.1656390356594786
FZ,W,9,1.0,0.935,0.88,0.891,0.02118427644822077,1.7691823164682137
FZ,W,10,1.0,0.925,0.9,0.899,0.0473717999537439,1.9204316222589113
PDZ,z,1,1.0,0.975,0.96,0.884,0.09447906754619907,1.5925112724897916
PDZ,z,2,1.0,0.98,0.96,0.919,0.09733615533565171,1.503837213027873
PDZ,z,3,0.99,0.97,0.95,0.881,0.10865763775072992,1.4489289368048777
PDZ,z,4,1.0,0.96,0.93,0.84,0.08216311771189794,1.566251274565584
PDZ,z,5,1.0,0.975,0.96,0.869,0.04578906000009738,1.6709005611279282
PDZ,z,6,1.0,1.0,1.0,0.856,0.08158751400420443,1.5375340910360682
PDZ,z,7,1.0,0.97,0.95,0.871,0.044936865791096355,1.5278979120842997
PDZ,z,8,1.0,0.975,0.96,0.84,0.06803713285014965,1.7637451125052757
PDZ,z,9,1.0,0.995,0.99,0.887,0.05679111490724608,1.4143739417230246
PDZ,z,10,1.0,0.945,0.93,0.899,0.08075069967657328,1.5781501500081503
PDZ,W,1,1.0,0.895,0.82,0.884,0.09440677910024534,2.4334090676589404
PDZ,W,2,1.0,0.905,0.85,0.917,0.09929572966648266,2.295303242262453
PDZ,W,3,0.99,0.895,0.85,0.881,0.11296570708043874,2.324135464022402
PDZ,W,4,1.0,0.91,0.85,0.84,0.08210420270450414,2.1937913879810367
PDZ,W,5,1.0,0.88,0.81,0.869,0.04556707931915298,2.45298316570028
PDZ,W,6,1.0,0.92,0.87,0.851,0.08131571059580893,2.4171069188555703
PDZ,W,7,1.0,0.925,0.86,0.872,0.04459339159715455,2.3472657481138595
PDZ,W,8,1.0,0.895,0.83,0.841,0.06691562145249919,2.5812267190252896
PDZ,W,9,1.0,0.905,0.82,0.887,0.05625429921259638,2.1788316354784185
PDZ,W,10,1.0,0.89,0.85,0.899,0.08123774925945326,2.36838446023874
