arm,K,PRIMARY,RESCUE,CURRENT,carry_mean,carry_median,carry_p90_nearest_rank,carry_max,residual_ratio_mean,residual_ratio_median,residual_ratio_p90_nearest_rank,residual_ratio_max,command_mean,command_median,command_p90_nearest_rank,command_max,physical_mean,physical_median,physical_p90_nearest_rank,physical_max
FZ,1,1000,0,0,0.0,0.0,0.0,0.0,0.0441039621563521,0.04109380963173878,0.061677401745807756,0.13463651375528027,0.7543696232860273,0.7585067263074861,0.8411362728652206,0.9323489143348418,0.7471785217596507,0.7517024352864128,0.8310633854325533,0.923747335320124
FZ,2,1000,0,0,0.0,0.0,0.0,0.0,0.04509810472158658,0.04256425826158043,0.0627970797240498,0.13453630491627785,0.7543696232014374,0.7585067271220532,0.8411362734075953,0.9323489080667441,0.7478999715360585,0.7515766831701336,0.8331683934541602,0.9250195129990894
FZ,3,997,3,0,0.0,0.0,0.0,0.0,0.04456556159804343,0.04086167229712098,0.05963164608438856,1.071146932009066,0.7529148289023396,0.75832454357065,0.8411362671204996,0.9323489109608847,0.7463283256984209,0.7515963025760001,0.832407891474759,0.9247397822119624
FZ,4,988,12,0,0.0,0.0,0.0,0.0,0.044929075434255235,0.04106141972486868,0.058462409078269315,1.073915687000236,0.7487815497791545,0.7565182170598448,0.8404135839819896,0.9323489139522753,0.7416947064428568,0.7508872060251224,0.8318906889862447,0.9240205643145305
FZ,5,946,54,0,0.0,0.0,0.0,0.0,0.06436733147898978,0.040958013366469925,0.06401288589438851,11.554797491335801,0.7261232730702407,0.7513347054258501,0.8391869220258599,0.9323489179318742,0.7186947362887386,0.7448559952211602,0.8303539986867482,0.923388081476227
FZ,6,830,168,2,0.0,0.0,0.0,0.0,44380680.903734535,0.04086076146331127,0.10116258739130031,24068574684.37799,0.6569921992160673,0.7347231314973997,0.8349220198985028,0.9323489138618719,0.6499658974230961,0.7263201919445473,0.8227712566609816,0.9237364262153082
FZ,7,643,352,5,0.0,0.0,0.0,0.0,92969732.96168227,0.04473763783115829,0.278559774469754,28688007486.320026,0.5467004574296832,0.7007119481407268,0.822294930412374,0.9284077841420256,0.5410657690426656,0.6913097568473937,0.8138171302719256,0.9215322854258431
FZ,8,480,504,16,0.0,0.0,0.0,0.0,223625073.065057,0.05193784636780876,0.6328322420021749,28744729784.137527,0.44021483753454793,0.3788952727710007,0.8113606221374843,0.932348913292309,0.43607597505153295,0.37152243704561305,0.8001883936231521,0.9208024805644285
PDZ,1,1000,0,0,0.0,0.0,0.0,0.0,0.04409957147477361,0.041041928902570274,0.06168587709194745,0.13462506172245342,0.7528606019368013,0.7577939405558818,0.8399664413594595,0.931481588069926,0.7456781271168476,0.750864391669795,0.8308604944342242,0.9233363995863365
PDZ,2,1000,0,0,0.0,0.0,0.0,0.0,0.045432668002781305,0.04264684249369526,0.06319332997031815,0.1583825161860238,0.7391995431784213,0.7506401931882396,0.8353514237909836,0.9281429966703677,0.7328289064155016,0.7438906490934216,0.8266108209491803,0.9241290196468818
PDZ,3,1000,0,0,0.0,0.0,0.0,0.0,0.047933082467183266,0.04115461447334593,0.07009245402065642,0.3162938506765789,0.6708508677953027,0.7148761318548795,0.8109719636614849,0.9200861228579511,0.6651002869707604,0.7082567695178872,0.8047630099788262,0.9137721353653532
PDZ,4,999,1,0,0.0,0.0,0.0,0.0,0.06156842272116802,0.04406700351904918,0.11525270257990927,0.5263557902935199,0.5432595166488488,0.6222516509324751,0.7739094830066107,0.8979410504762914,0.5384527744650441,0.6166908932432504,0.7678008005840746,0.8896837529449189
PDZ,5,997,3,0,0.0,0.0,0.0,0.0,0.08051355958922414,0.053233268370320636,0.16468003952997776,1.114371575260341,0.3847677203179217,0.3564014902290643,0.7165668894218717,0.8466394764198374,0.381295653371456,0.35300466452184703,0.7059012690795043,0.8383848254569065
PDZ,6,996,4,0,0.0,0.0,0.0,0.0,0.0938394411195926,0.06611502412985218,0.18621795215158335,2.073084174571349,0.2419666950264468,0.1587031460278439,0.6083419340756652,0.8427963539995871,0.23974360150963872,0.15733020428911154,0.6023538543403937,0.8347601679087426
PDZ,7,996,4,0,0.0,0.0,0.0,0.0,0.09926431628453722,0.07329138930628207,0.1867581441610506,1.409671597134601,0.14820271310089714,0.09007004833800525,0.353176578694275,0.8053619165739211,0.14691617469669407,0.08904668813334464,0.35205460261444,0.7934125338074081
PDZ,8,996,4,0,0.0,0.0,0.0,0.0,0.09533387833634684,0.0730248678017376,0.17496898088165988,0.7709628974619109,0.094162942264685,0.05926982165196715,0.18618361387892188,0.7682450059065619,0.09333283025734558,0.05875105483481501,0.1843945558145695,0.7531140112598408
