arm,K,PRIMARY,RESCUE,CURRENT,carry_mean,carry_median,carry_p90_nearest_rank,carry_max,residual_ratio_mean,residual_ratio_median,residual_ratio_p90_nearest_rank,residual_ratio_max,command_mean,command_median,command_p90_nearest_rank,command_max,physical_mean,physical_median,physical_p90_nearest_rank,physical_max
FZ,1,999,1,0,0.0,0.0,0.0,0.0,0.04510493097408611,0.042177012385582746,0.06355678671882704,0.3330288730691822,0.7926312425289426,0.7939736604931457,0.8952162690453684,1.0353107907803965,0.778709110722629,0.7824071667061769,0.8797543463975154,1.0079884075117327
FZ,2,997,2,1,0.0,0.0,0.0,0.0,10527178.619081201,0.04385358923682781,0.06621156607586579,10527178572.059423,0.7915593093397016,0.7937731950838323,0.8952162670299872,1.035310785617183,0.7779076795811452,0.7823134695041711,0.8797253062216147,1.0107962180880126
FZ,3,929,66,5,0.0,0.0,0.0,0.0,69057198.2078884,0.044229888783169864,0.07167487355391242,18306753997.145943,0.7520767246796215,0.7833819631077328,0.8891093664757754,1.0353107862276087,0.7385701591679511,0.7702568764786848,0.8744128749272314,1.0073580005756817
FZ,4,770,222,8,0.0,0.0,0.0,0.0,120861785.38112472,0.04726941916781687,0.11068301589518306,20392976914.757744,0.6538551882560373,0.7545039039223461,0.8815676526334268,0.9940764995444145,0.6423800225543097,0.7421966282330963,0.8658814687671094,0.9750870635739023
FZ,5,580,400,20,0.0,0.0,0.0,0.0,257551040.95266664,0.051958199148023354,0.49621082306648007,23201592334.686577,0.5231748766787813,0.6862221806676291,0.8628799310372693,0.9940765020924,0.5146761860272948,0.6740146475632075,0.8465174326481133,0.9694651557646058
FZ,6,403,572,25,0.0,0.0,0.0,0.0,265137454.29111052,0.058929124357831084,1.2444949216933145,21213660657.55298,0.39580671968455106,0.30517629096742327,0.8326706188093226,0.9867266886352754,0.39017983880790236,0.3020039875352166,0.8183835864206009,0.9671915473932244
FZ,7,291,676,33,0.0,0.0,0.0,0.0,311226457.63623786,0.07400269903305964,2.06216019839537,18483966521.424477,0.3042550839159039,0.15965730627803593,0.8061805695069131,0.994076500395214,0.30033725927733584,0.15749142270100153,0.7940989171097326,0.9666154657072799
FZ,8,186,776,38,0.0,0.0,0.0,0.0,250326409.9167949,0.10195555820141403,2.4267402535545783,15132156881.785395,0.22009118908092004,0.07253634995505617,0.7724924993237664,0.9663547983666904,0.2177890757960159,0.0723068891293693,0.7642774000609655,0.9506730289837745
PDZ,1,1000,0,0,0.0,0.0,0.0,0.0,0.04583878768658485,0.04275885961802285,0.06430457832284839,0.3439392694417345,0.7730575032974711,0.777171370454025,0.8698577876223902,1.0019175796722144,0.759862250459768,0.7632756560858561,0.856209599778951,0.975343518609795
PDZ,2,997,3,0,0.0,0.0,0.0,0.0,0.05164776202329617,0.044849061596600556,0.0722212211144968,0.8393726183454143,0.7135504079745018,0.7436672501636985,0.8549403883392164,0.9879123137710937,0.7020496588087537,0.7314160861488772,0.8422814684878682,0.963455760381324
PDZ,3,991,8,1,0.0,0.0,0.0,0.0,14262030.569145167,0.04859122022389649,0.13143687716000657,14262030485.505463,0.5293531024108509,0.6210018504784593,0.8048636772465182,0.9579059023933248,0.5209308341699204,0.6095611680716482,0.79326516397462,0.9296935438075625
PDZ,4,990,8,2,0.0,0.0,0.0,0.0,16071194.268972632,0.06544489565427976,0.23417809957834382,8243453480.748536,0.3144776589952287,0.20921263982715893,0.7194882713765159,0.9248774831679621,0.3097868229692404,0.20652835772739114,0.7118714115737926,0.9125483908111072
PDZ,5,991,8,1,0.0,0.0,0.0,0.0,3346855.818766242,0.08647219287921223,0.25198556736297506,3346855694.30175,0.17499425932024337,0.0757189941709386,0.5672201238830721,0.8939308043646209,0.1726290559400607,0.0749030938886015,0.5583543200823148,0.8817441748002347
PDZ,6,992,7,1,0.0,0.0,0.0,0.0,1629174.1602911833,0.07967384062046154,0.21099557180173076,1629174050.7298222,0.09718452663603332,0.04350792502405302,0.2563021180044702,0.7763272774654956,0.09590553598160312,0.04276476194950385,0.2521394409730662,0.7641794360750627
PDZ,7,995,3,2,0.0,0.0,0.0,0.0,2360674.683673461,0.07138242436560648,0.17759629043836997,1828817866.2714589,0.0582337599896316,0.031146397964441866,0.10603709702282565,0.743218692403621,0.05740900451445077,0.03052040086433873,0.10572829946927867,0.7138873477668023
PDZ,8,995,2,3,0.0,0.0,0.0,0.0,3360785.7954684645,0.06379842015912643,0.13402078859679414,1597959221.7295725,0.03880504356919838,0.024647753301920615,0.0644733544235767,0.7411124235467651,0.038235057391498774,0.02421336191866893,0.06496189938405268,0.7138511859173846
