arm,h,M,T_z_equals_Mh,requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,new_minus_true_margin_mean,new_minus_true_margin_median,new_minus_true_margin_p90,new_minus_true_margin_max,displacement_mean,displacement_median,displacement_p90,displacement_max,raw_field_norm_mean,raw_field_norm_median,raw_field_norm_p90,raw_field_norm_max,clamp_hits,clamp_denominator_request_microsteps,clamp_fraction,finite,target_sha256,prefix_identity_sha256,trajectory_file_sha256,interpretation
Z+,0.0625,1,0.0625,10,9.962234497070312,10.159257888793945,11.743203163146973,16.001502990722656,6.096611976623535,6.066997051239014,10.505935668945312,12.606414794921875,-3.865622043609619,-4.970354080200195,2.3446638584136963,3.5523533821105957,0.32082512974739075,0.2890278100967407,0.46905025839805603,0.5949326157569885,4.3712005615234375,3.993380546569824,7.125589370727539,8.155125617980957,0,10,0.0,True,ec7faf262cf4c6a2472065a6c450673f0cd1ed2b88c9055dbd1fbca102fd6ea1,fd8f5a9af685d659ed3726ff350e4a03db1c4c103eaf7f9f8bcaefe3ef5b4fae,d07df286450d1e5e9f61c7f3566f35921f2b93317b32f47d4c2960b961ebbd87,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.0625,3,0.1875,10,7.111441612243652,6.644108772277832,11.02888298034668,15.03049373626709,6.240094184875488,5.868692398071289,9.740097999572754,11.276335716247559,-0.8713480234146118,-0.051006339490413666,3.4657716751098633,6.924629211425781,0.7982206344604492,0.7596323490142822,1.190058946609497,1.3288190364837646,5.197610378265381,4.878214359283447,8.394797325134277,9.385025978088379,0,30,0.0,True,ec79b7fb20449e399830efb056b05e77ec7e1fd66616df1069499eb7f0898729,843eec946cbcf3e396a786516ffc2190938565af4130ae6826cf69ef4d8bc38b,d07df286450d1e5e9f61c7f3566f35921f2b93317b32f47d4c2960b961ebbd87,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.0625,5,0.3125,10,4.298001766204834,2.7302894592285156,9.94116497039795,13.778966903686523,7.652889251708984,8.512445449829102,10.050445556640625,10.604284286499023,3.354887008666992,5.1651201248168945,8.894472122192383,8.912736892700195,1.2212557792663574,1.2494611740112305,1.6113450527191162,1.6310807466506958,3.3319473266601562,3.140794515609741,4.870700359344482,6.9816155433654785,0,50,0.0,True,418173d490f9250671d89f82a26d0d1df672205e3eb6676ebf26aa301101ff1d,238db0988ac1c016c6a5419d35c0ed579b7556ad0299ab8eab3de89b0597debd,d07df286450d1e5e9f61c7f3566f35921f2b93317b32f47d4c2960b961ebbd87,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.0625,10,0.625,10,0.32957497239112854,0.23293447494506836,0.7198021411895752,1.1118137836456299,8.98114013671875,9.864914894104004,12.283830642700195,13.890846252441406,8.651564598083496,9.771276473999023,12.100516319274902,13.5958890914917,1.7809417247772217,1.8146321773529053,2.063380002975464,2.2039096355438232,2.2688674926757812,1.1349817514419556,4.545966625213623,8.058720588684082,0,100,0.0,True,b4e6644edbbe4150b39128d16009da17f0fe5bed94cce644839b0f985cf6132c,1dad99e785a9d86cf2f2b1b4a15775dec6f92f1cfdea7090f8738cdb79976687,d07df286450d1e5e9f61c7f3566f35921f2b93317b32f47d4c2960b961ebbd87,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.25,1,0.25,10,7.9117913246154785,7.655735015869141,10.846968650817871,14.676371574401855,6.2061381340026855,6.545202255249023,9.525663375854492,11.616453170776367,-1.705653429031372,-1.6477102041244507,3.0601563453674316,5.3320746421813965,1.283300518989563,1.156111240386963,1.8762010335922241,2.379730701446533,4.184288024902344,3.557465076446533,5.935245037078857,7.635185241699219,0,10,0.0,True,7235730e4b30e9b6c6b09b25708373f69c07cb048ec42fa9d5c5efb617af87fc,dff071e865357d1a4fa13cb9c281a7285ad679d54d180cab19df03bb6eb499df,5f2015c45ebf2cd3ed7a63c80e3cbd96c2a6016e9240d8f35f90e5413bc9cfe3,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.25,3,0.75,10,1.882282018661499,0.7527183294296265,4.802224636077881,5.002145290374756,8.572369575500488,8.621488571166992,12.446824073791504,12.645109176635742,6.690086364746094,7.712533950805664,9.87359619140625,12.38526439666748,2.359217882156372,2.1897659301757812,2.9929182529449463,3.115328550338745,3.577009677886963,2.8177318572998047,6.8071393966674805,9.572286605834961,0,30,0.0,True,839ac2325a402e7999ffff7a30f085d740c965026dd9a1e613bb25d3bc0dc3bd,30d50ebaa429802ed3eb594b5339c47fdd996cc772be51453c8316b373b7b34f,5f2015c45ebf2cd3ed7a63c80e3cbd96c2a6016e9240d8f35f90e5413bc9cfe3,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.25,5,1.25,10,0.2615390717983246,0.10981786251068115,0.8283525705337524,0.9183434844017029,10.394453048706055,10.931761741638184,13.296564102172852,13.566825866699219,10.132914543151855,10.741758346557617,12.708227157592773,13.245936393737793,3.045830249786377,3.2217555046081543,3.725703716278076,4.101429462432861,1.1424105167388916,0.5172058939933777,3.887362241744995,4.014212608337402,0,50,0.0,True,6e2b6b4b88b271baf38980993bc71400eb30d620c3e088ba47b969e7d1365bef,fa4c94eacca49307486a91dae1859ae4d6e88e64f4715bd3abfa7869b72609ad,5f2015c45ebf2cd3ed7a63c80e3cbd96c2a6016e9240d8f35f90e5413bc9cfe3,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,0.25,10,2.5,10,0.030452674254775047,0.018934842199087143,0.05942254513502121,0.12063800543546677,11.942138671875,12.601961135864258,14.018465995788574,14.448026657104492,11.911686897277832,12.540236473083496,14.008184432983398,14.423175811767578,3.124896287918091,3.2575278282165527,3.884134292602539,4.108592987060547,0.18935388326644897,0.19630615413188934,0.2528780698776245,0.28847017884254456,0,100,0.0,True,faa5120d0fc27e10b625af2545db879fa100997039304836965f4a7dbd5812dc,a2207213cbab122f25931d22d2b6255ff9d204a38ac96f82325eb909612f6f76,5f2015c45ebf2cd3ed7a63c80e3cbd96c2a6016e9240d8f35f90e5413bc9cfe3,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,1.0,1,1.0,10,6.450743675231934,6.6737060546875,8.777716636657715,11.449767112731934,6.5879225730896,7.088935852050781,8.710309028625488,11.774045944213867,0.13717924058437347,0.6218118667602539,3.486778974533081,5.228797912597656,4.002305030822754,4.254687309265137,4.783825397491455,4.811164855957031,3.816223621368408,3.9495346546173096,5.3389387130737305,5.380527496337891,5,10,0.5,True,457d2749f80fd039745dcb1cebaabbf267c040022d7458602ce6904fa286d1a7,b5049bf7f386a449e9399daff272e5b0a7c159b78f9b7933010aaf2fabfef0fd,c55a74695bbf4ba1c99a00c473868dc7abe09daa40ae5d627741e500442d6c6b,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,1.0,3,3.0,10,1.012305736541748,0.18699929118156433,2.8984320163726807,4.364071846008301,10.340944290161133,10.076469421386719,14.310103416442871,15.375093460083008,9.328638076782227,9.444097518920898,14.282910346984863,15.368255615234375,4.6846160888671875,4.700930595397949,4.993348121643066,5.129149913787842,2.809748649597168,0.41571754217147827,9.395156860351562,10.641020774841309,22,30,0.7333333333333333,True,402fac36c11da5a13f8eca054fbd87f316436fac808463ab2136376b204f94bf,db6e19e665d9972fc8a2bed63bb36e9b26dcd970312b70709be91c6a29ddc676,c55a74695bbf4ba1c99a00c473868dc7abe09daa40ae5d627741e500442d6c6b,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,1.0,5,5.0,10,0.07234613597393036,0.034464359283447266,0.1563510000705719,0.28068217635154724,11.243330001831055,10.780882835388184,14.789838790893555,15.935302734375,11.170984268188477,10.637798309326172,14.774856567382812,15.931150436401367,4.680821418762207,4.692008972167969,4.993350028991699,5.129151344299316,0.4343898892402649,0.16954851150512695,1.165350079536438,1.3341825008392334,37,50,0.74,True,626bfec1acae342b058539fb701479f99e9bc22fc95838e7cc5805ade6126a71,b70529d4d95dca24270c7263bcb59d3235d60f8761348f6ec8c564fca18415c9,c55a74695bbf4ba1c99a00c473868dc7abe09daa40ae5d627741e500442d6c6b,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,1.0,10,10.0,10,0.4895055890083313,0.006938758306205273,0.5249167680740356,4.798516750335693,12.136373519897461,13.05239486694336,15.942056655883789,16.770620346069336,11.646867752075195,13.025934219360352,15.938702583312988,16.76764678955078,4.649702072143555,4.639225959777832,4.987298488616943,5.085662841796875,0.8072273135185242,0.06588486582040787,0.8768922686576843,7.426235675811768,54,100,0.54,True,537e039e22715c170773415732790514b6422d45c0c9fad0c6d9653ed24f782e,2401e7d528bb256b3b8b414798cdd1c077d0b50b39c501091de75ad3f7404ec6,c55a74695bbf4ba1c99a00c473868dc7abe09daa40ae5d627741e500442d6c6b,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,4.0,1,4.0,10,6.1309099197387695,6.600191116333008,8.614550590515137,9.818082809448242,6.5627007484436035,6.780428886413574,8.855515480041504,11.774046897888184,0.4317913055419922,0.7607568502426147,3.486778974533081,5.228802680969238,4.700789451599121,4.735661506652832,4.993351936340332,5.129156112670898,3.9232261180877686,4.1022796630859375,5.370607852935791,5.6972222328186035,10,10,1.0,True,d804639ef3c5140385749c4d400620214bfe0f505f5b187318b265c87b0099ff,1961f8a5d2d93b6ddfe019b2de513daf145d4fd28fd42695b810c3b89a7970e9,119c2e4834cee24e33cb3d6f14aa43921d6d2c02c9eb204af91b25ac9f4f0295,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,4.0,3,12.0,10,4.206284523010254,0.7573906183242798,12.75186538696289,15.468806266784668,9.269538879394531,8.249208450317383,14.74327564239502,16.258934020996094,5.063254356384277,6.2717084884643555,14.680892944335938,16.251956939697266,4.697497367858887,4.7343974113464355,4.993351459503174,5.129153251647949,5.957479476928711,5.175224304199219,13.05062198638916,19.38288116455078,29,30,0.9666666666666667,True,bb7ad2f4480ed88858151c172cdc3e929c80548bb372ac222c8bd19a37a3d59f,3e7b8d5c9cdf2a8a65320f621f10a65c24fd2db0da5097e962c690f1dca730d9,119c2e4834cee24e33cb3d6f14aa43921d6d2c02c9eb204af91b25ac9f4f0295,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z+,4.0,5,20.0,10,1.9484293460845947,1.4576785564422607,3.8517818450927734,6.5318145751953125,11.731779098510742,12.442146301269531,16.43422508239746,16.491634368896484,9.783349990844727,10.960718154907227,16.412681579589844,16.4913387298584,4.6903157234191895,4.698594570159912,4.993348121643066,5.129160404205322,7.258941650390625,4.929553508758545,23.873374938964844,27.64826011657715,46,50,0.92,True,ddb67782be7b6e2968ea24bc47cebbe595620a46adba8c0c1f273ca59a8b1224,e1059b4be129b46c8662dd2617dba7ed2375aace0ae2de7fb5dfa58fe1713fbe,119c2e4834cee24e33cb3d6f14aa43921d6d2c02c9eb204af91b25ac9f4f0295,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
