case_index,arm,request_count,clamp_hit_numerator,clamp_denominator,clamp_fraction,all_5_step_saturated_request_count,zero_hit_request_count,target_wall_seconds,evaluator_wall_seconds,arm_total_wall_seconds,request_order_sha256,W0_sha256
2,Z+,10,41,50,0.82,5,0,16.891292178072035,1.8612926192581654,28.080034072510898,d926188b4b11b462acfbf3c3cb3623bbd37a6043dc2673072e40004eb2e0e22a,c004b078afcda0ec463e5bd70f2544aa13a9ae6894d8bcd6321f82b21e147869
2,Z±,10,46,50,0.92,8,0,21.839469036087394,1.8642717627808452,32.976262205280364,d926188b4b11b462acfbf3c3cb3623bbd37a6043dc2673072e40004eb2e0e22a,c004b078afcda0ec463e5bd70f2544aa13a9ae6894d8bcd6321f82b21e147869
3,Z+,10,24,50,0.48,0,1,16.24353631492704,1.7592112151905894,27.280468082986772,38bed59f6dc2b193082c30197e61ca9cfddaaecf3e524a0dbcb358f780c4db1a,5d5f510e6be17993d5bef863b0137b12b96149583a859aa7d2fa484287da1e7d
3,Z±,10,40,50,0.8,6,0,21.14887546095997,1.7559718191623688,32.15702135115862,38bed59f6dc2b193082c30197e61ca9cfddaaecf3e524a0dbcb358f780c4db1a,5d5f510e6be17993d5bef863b0137b12b96149583a859aa7d2fa484287da1e7d
4,Z+,10,34,50,0.68,2,1,16.423927642405033,1.9337072726339102,27.78361749649048,d866c44874892d760da97cd7ede76979ae2281c2934a83d9c10695159e88d3d3,c0059efc38f4ef6c724d61bdb010c8685491030cc3a7e593e2504754122256fb
4,Z±,10,43,50,0.86,5,0,21.486559011042118,1.9276158083230257,32.42419811710715,d866c44874892d760da97cd7ede76979ae2281c2934a83d9c10695159e88d3d3,c0059efc38f4ef6c724d61bdb010c8685491030cc3a7e593e2504754122256fb
5,Z+,10,29,50,0.58,2,2,16.20665445458144,1.8696513576433063,27.396999434567988,bb5f940c463a8c24798c3f75045c109b1f6752da1086e9ec5cb36de0c434c1b0,39579f624c90bb7328050166e1e31b6e2baeba13ab73d8c5178ffed188700d6e
5,Z±,10,41,50,0.82,6,1,21.341614280827343,1.8602834213525057,32.044491165317595,bb5f940c463a8c24798c3f75045c109b1f6752da1086e9ec5cb36de0c434c1b0,39579f624c90bb7328050166e1e31b6e2baeba13ab73d8c5178ffed188700d6e
6,Z+,10,26,50,0.52,0,1,15.984366362914443,1.6550455130636692,27.134950009174645,36f62d08abd69321360044edb1500c6afd302f7c10c546e78467e866c2ef3dd5,8e22d946ad9c719d7c18f6ebc59ae1e47393e77f2e826eafe97b63b660313a4a
6,Z±,10,45,50,0.9,7,0,21.893685860559344,1.6358340550214052,32.77584381122142,36f62d08abd69321360044edb1500c6afd302f7c10c546e78467e866c2ef3dd5,8e22d946ad9c719d7c18f6ebc59ae1e47393e77f2e826eafe97b63b660313a4a
7,Z+,10,38,50,0.76,3,0,17.224902405403554,1.890043412335217,28.53311339672655,badf5694b025745be31e42e3bd18a603f8fde0db206462b01c0794d5bb0431fc,153fb89fb9c07f41fa9f2130c461b8f1b7dbfd8ef527f4ae5857df8765f0543c
7,Z±,10,43,50,0.86,6,0,22.270391706377268,1.902238067239523,33.64299143478274,badf5694b025745be31e42e3bd18a603f8fde0db206462b01c0794d5bb0431fc,153fb89fb9c07f41fa9f2130c461b8f1b7dbfd8ef527f4ae5857df8765f0543c
8,Z+,10,35,50,0.7,4,1,16.192182205617428,1.900949682109058,27.20282402448356,c363db241e2c07ca144d278b90b21023234c7c63d6bc7156eb180b7cd6ebb572,bc6946c921ff62e8b80e9fe362fdc8f7b47bb53a495b1059a4c48eadbbd14a18
8,Z±,10,41,50,0.82,6,0,21.8567324122414,1.8937399350106716,33.09312863461673,c363db241e2c07ca144d278b90b21023234c7c63d6bc7156eb180b7cd6ebb572,bc6946c921ff62e8b80e9fe362fdc8f7b47bb53a495b1059a4c48eadbbd14a18
9,Z+,10,29,50,0.58,3,1,16.163054816424847,1.8266632249578834,27.913066945038736,1702d290642650ce9a2ff4a5687d48c469441e4d2b7c3f204e05d71d6918eefd,e72ac06916b796fa6e8a9bf745bedfb90327faf3547db28b4c86ecb6b2a7b288
9,Z±,10,42,50,0.84,6,0,20.82770417071879,1.8253845861181617,32.652249712496996,1702d290642650ce9a2ff4a5687d48c469441e4d2b7c3f204e05d71d6918eefd,e72ac06916b796fa6e8a9bf745bedfb90327faf3547db28b4c86ecb6b2a7b288
10,Z+,10,30,50,0.6,0,0,16.410972313955426,2.189008915796876,27.72334554977715,add78cd5df75ad1ee941a84527fba9b0a63cfde5a3338450ffbe6bc248af08d9,7c94a0835be31a41ffed63340a2f03acd2f9d6b3a7397d660b4fab2570658420
10,Z±,10,40,50,0.8,4,0,21.31857226602733,2.1894092792645097,33.35440508555621,add78cd5df75ad1ee941a84527fba9b0a63cfde5a3338450ffbe6bc248af08d9,7c94a0835be31a41ffed63340a2f03acd2f9d6b3a7397d660b4fab2570658420
