policy,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,1,RS,100,100,99,0.99,0,99,1b09f1693ec1a62f1ee681ae23edf7f64ee5daf48555a1416fdabe1535bbf0a6,359442ce1bbc9fa30c2a33241ed9f750d9c2f470f927e1a647ae9a01f0b341f9,94,0.94,94,0.94,95,101,0.9405940594059405,0,0.0,0,0.0,3,103,0.02912621359223301
N4,2,RS,100,100,99,0.99,0,99,e4a91f0eecba21ae1cef0717698b61202b597ac08d9d95bec36b3869e18264f8,6b96ddb4fd496689eb72bd99bcb8a412a1f91b5d8f3fba2e2dcb0d89a47b5189,95,0.95,95,0.95,97,102,0.9509803921568627,0,0.0,0,0.0,1,101,0.009900990099009901
N4,3,RS,100,100,100,1.0,0,100,959c298ff32c3bf9b93f1e43f59c0a69ec2493ee0a7f1a9a44b2fe8850b9cbe9,5463b40e81fd0165da3b031aab324c40618128d6f3e38d7eaa309d6f06f6760e,97,0.97,97,0.97,99,102,0.9705882352941176,0,0.0,0,0.0,2,103,0.019417475728155338
N4,4,RS,100,100,99,0.99,0,99,b28d90fc2fad7a64815d66147b27471accf9e44aece82c37d3cc5ff50151165b,5fbf5bfb819089d0ce4e93223defd1c485c0ac0af0309222bfa49c88b98a820f,96,0.96,96,0.96,97,101,0.9603960396039604,0,0.0,0,0.0,0,100,0.0
N4,5,RS,100,100,99,0.99,0,99,669d12eb725fb47786de1ee5721a7092bc6a6f452e8315b1ec580edb316fc945,b867f2b6bf5e732c895585607099bbe236737b4e4383306af79c90ade80bc6a4,94,0.94,94,0.94,95,101,0.9405940594059405,0,0.0,0,0.0,0,100,0.0
N4,6,RS,100,100,100,1.0,0,100,c3e60ab8d668e676c54d21d38c0657d8cdb7ae318325937fd8845a24b5e63521,47e51fb21573129682ac3465fd9c921ddf3ba57365d7fade993424380af66f81,96,0.96,96,0.96,100,104,0.9615384615384616,0,0.0,0,0.0,2,102,0.0196078431372549
N4,7,RS,100,100,100,1.0,0,100,5c99102bfdd97033413c2bea0664741e5288a79b46b17bc782e704a0c791428a,229af45b592d9496c372dd0be5dc4fb56eb9abb1fdd2218b3c833a6fff53ba01,96,0.96,96,0.96,97,101,0.9603960396039604,0,0.0,0,0.0,1,101,0.009900990099009901
N4,8,RS,100,100,99,0.99,0,99,3577071bd848314c46c4a79401bdece76780375695f8bda04e5fb833d62ddcab,6f1837bb05ace5ebb5e52cd91c21a28925d5d22473edf577f66f8e9e0bdcd5d1,97,0.97,97,0.97,99,102,0.9705882352941176,0,0.0,0,0.0,0,100,0.0
N4,9,RS,100,100,98,0.98,0,98,7d33df99495caeeac767c543fb1d2ce151bf6d6601f242143f427ec7af26a579,59a7285c28a88ad47240c37cfcced3151121fdcc6ae9adbd16991e4f148415b3,95,0.95,95,0.95,95,100,0.95,1,0.01,1,0.01,2,101,0.019801980198019802
N4,10,RS,100,100,99,0.99,0,99,ab6015e086fcee892f60e7818d00eada7383dfa7f28265461ee108edb45c2494,943ca809165299d8bbffc85e8aa6df4ee4e2e5a12b0d3fd2f77fabb81695ebbc,97,0.97,97,0.97,98,101,0.9702970297029703,1,0.01,1,0.01,1,100,0.01
N4,11,RS,100,100,100,1.0,0,100,39c53a98a81b53822dae693b468be640cef274896df3a157a8258fb815290eaa,2e88949a3e4a0be44facf2f8c4579877a00b47f37b7328ab72586e4f046c0b63,96,0.96,96,0.96,97,101,0.9603960396039604,0,0.0,0,0.0,3,103,0.02912621359223301
N4,12,RS,100,100,99,0.99,0,99,8e52ddd556c832888a0c2e69b33e43c5aae7aaa253198921fc30462985fa7988,df23bb8356713f44d13a0c48c23caed7cf8e67b347368e1f280980c2792e76df,96,0.96,96,0.96,100,104,0.9615384615384616,0,0.0,0,0.0,4,104,0.038461538461538464
N4,13,RS,100,100,100,1.0,0,100,6bfbd4e7aced1ad6dff4c02b91dd1df31ad6b929bf789a849e6b0ad98896cbb4,c2bad89f7f8c2df9a805e3ec1832a3aa7f429c72dab386e1adb9c6ddae11d67c,97,0.97,97,0.97,97,100,0.97,0,0.0,0,0.0,3,103,0.02912621359223301
N4,14,RS,100,100,99,0.99,0,99,2bd1a531aa64f28394effef8b32f253d08964eba577d8986a64500c3386888a5,fb5bb2d8846724e85544bc607f47fda6226c8bfb01451e0c8a7fc9864b74aba6,95,0.95,95,0.95,95,100,0.95,1,0.01,1,0.01,2,101,0.019801980198019802
N4,15,RS,100,100,100,1.0,0,100,42027f52e27540e74f5fc0131983a9930682545daf2b7d1141eb4af68940108e,cf5ff24764661849d4411fdcba5a152092dbf1bfbef7477c3ccaaba54c73ef80,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,101,0.0
N4,16,RS,100,100,100,1.0,0,100,df936bb1555a9f9421d23352f8900f922a06626832514bb8c3d2a6289af0440f,c42f547dd9402c445bb47574d0ebe4a8436f23f3396c3c9ce8a1af32d25a651e,95,0.95,95,0.95,95,100,0.95,0,0.0,0,0.0,1,101,0.009900990099009901
N4,17,RS,100,100,99,0.99,0,99,b8a4929ee5e62bbaff1ba246ee257f8987782beda007c921d42ffff2ebf29b71,f41211e4c7832fcb4d3b54a02cb107dfdd006f5cf33b8c203d5647850fb069ff,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,0,100,0.0
N4,18,RS,100,100,100,1.0,0,100,8c4e8298e3162cad9f9ec555f44ec1b34caeaaa314635ba0b11aef5156f0ba20,e93dc1b0d366169354432b9c93356a19486c2a721c8fe4572a74633b9a95abb7,95,0.95,95,0.95,95,100,0.95,0,0.0,0,0.0,1,101,0.009900990099009901
N4,19,RS,100,100,99,0.99,0,99,c09f89b3677a0e4507b956338463a44c7469d6e37e7e4ef78febbbb5ac568cf7,f8ea41b1e87c27d50bf1e344d210c0f958a9e31fa427ee9d484b444908e3fc13,98,0.98,98,0.98,98,100,0.98,0,0.0,0,0.0,0,100,0.0
N4,20,RS,100,100,100,1.0,0,100,e8bdf3b0e6189eea3df7e815e09a5c8e4347a0a90b1e8d562ebf6aab12f9e5c3,90fdfee03bcded07d8959a314838a998f3348fc1076a0d55831f2fcc239a9ebd,98,0.98,98,0.98,98,100,0.98,0,0.0,0,0.0,2,102,0.0196078431372549
N4,21,RS,100,100,100,1.0,0,100,494c5c00bcc78ff59ebc2ac15abd1629b5e5fa6029980aa78696a312b6602714,b22a6ea18e05dffbf7fc9164216e9ed153785e5044e8cf27227a540adf4c4aad,95,0.95,95,0.95,97,102,0.9509803921568627,0,0.0,0,0.0,2,102,0.0196078431372549
N4,22,RS,100,100,100,1.0,0,100,340c41ff3e654e63a642aed125f032cd2f0456fd1e1f334530cd824e8315f471,ae7cddb692b17888dac71156c1ebb6454a48b865089c90a83e92b28132127cc6,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
