before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
FROZEN2,REFIT4,suffix,ALL,RS,1000,-1,-0.1,1,0,1,0.014582953790282772,0.044790423824451836,0.10826680661644784,-1.7812233357429503
FROZEN2,REFIT4,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,0,0.015613628226983601,0.04338381451088931,0.10460142714087842,-1.8002681372391147
FROZEN2,REFIT4,suffix,SUPERSEDED,RS,6,-1,-16.666666666666668,1,0,1,-0.15616544455648787,1.1861106306314468,1.3893888741731646,1.3738654454549153
FROZEN2,REFIT4,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN2,REFIT4,suffix,ALL,PS,2000,-8,-0.4,23,15,-62,0.12906479982487146,1.7944646120071404,3.5299408566951747,-0.9892366808727384
FROZEN2,REFIT4,suffix,ACTIVE_TARGET,PS,1988,-7,-0.352112676056338,22,15,-62,0.1256932433887165,1.775120105221865,3.5062836763262717,-0.9936285731897987
FROZEN2,REFIT4,suffix,SUPERSEDED,PS,12,-1,-8.333333333333334,1,0,0,0.687619316081206,5.027932310104365,8.054596929550176,-0.2616465203464031
FROZEN2,REFIT4,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN2,REFIT4,suffix,ALL,NS,10000,105,1.05,182,287,-4,-0.07041459574532928,1.0935574293136592,2.2156152200698878,0.06644890152561565
FROZEN2,REFIT4,suffix,ACTIVE_TARGET,NS,9940,107,1.0764587525150906,180,287,-4,-0.07336880430201831,1.089637064933776,2.2052254390716586,0.06406583559692886
FROZEN2,REFIT4,suffix,SUPERSEDED,NS,60,-2,-3.3333333333333335,2,0,0,0.4189992884794871,2.075647068023681,5.154258022308341,0.46124349037806195
FROZEN2,REFIT4,suffix,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
FROZEN2,REFIT4,entry_old,ALL,RS,5000,-1,-0.02,7,6,3,0.008890529235888244,0.01068838261999195,0.39388629555702415,0.18549559297375381
FROZEN2,REFIT4,entry_old,ACTIVE_TARGET,RS,4910,0,0.0,4,4,2,-0.004507329503826394,0.007759328326210404,0.1809171115607015,0.174687290546729
FROZEN2,REFIT4,entry_old,SUPERSEDED,RS,90,-1,-1.1111111111111112,3,2,1,0.7398181560358756,5.567441511154172,10.715556497648357,0.775148536492553
FROZEN2,REFIT4,entry_old,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
FROZEN2,REFIT4,entry_old,ALL,PS,10000,0,0.0,49,49,62,-0.009132141694460734,0.5360600531101215,1.3479792779684083,0.06247856349417707
FROZEN2,REFIT4,entry_old,ACTIVE_TARGET,PS,9820,3,0.03054989816700611,40,43,51,-0.015256379470605394,0.5082028388977039,1.2156013250350948,0.059301546892784766
FROZEN2,REFIT4,entry_old,SUPERSEDED,PS,180,-3,-1.6666666666666667,9,6,11,0.3249790525374313,3.7099841117858885,6.632058501243592,0.2358024691923573
FROZEN2,REFIT4,entry_old,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
FROZEN2,REFIT4,entry_old,ALL,NS,50000,330,0.66,1131,1461,4,-0.07339343392210547,1.1155468225479097,2.0677349829673783,0.03100020548754008
FROZEN2,REFIT4,entry_old,ACTIVE_TARGET,NS,49100,329,0.670061099796334,1099,1428,2,-0.0790563928227812,1.102783322334287,2.0247449493408243,0.025890945406940376
