policy,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy,two_P_request_strict_n,two_P_request_strict_d
N4,60,current,RS,ALL,100,100,100,1.0,0,100,4bbefbfca48174e9b05c32077efdc9b2d4cf4fc8d0d3427fddde13f4a9de57e4,42ff857bdcba0f1327e6a16facd8bbb79664d4d3d5cfe725c9c6be1a207e4938,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,101,0.0,,
N4,60,current,PS,ALL,200,100,195,0.975,0,96,841dd06b98c1b48d7ef0af7a2ae7d14515ec2128551748c7122856e635e71dae,4bfb2b3c40a2b93764a8c4c7a0acc190e8fd0bf55acc31441f3f82f7dc9a048f,155,0.775,68,0.68,155,200,0.775,0,0.0,0,0.0,1,202,0.0049504950495049506,68,100
N4,60,current,NS,ALL,1000,100,734,0.734,0,30,2fa78466e1ecb466a066aec3ad38039f88bc7e09c80b645e29c6c8b8dfd6de99,9fad9a3dae5649d4b4655c17549e1e327b443d6de72affc4a9ea8b6bda9225e9,50,0.05,0,0.0,50,1000,0.05,114,0.114,0,0.0,120,1010,0.1188118811881188,,
N4,60,suffix,RS,ALL,1000,1000,1000,1.0,0,1000,3d8441c97974f7cd040c389398d91e2eb5ac18fab77a8c2eb4529838716fd31c,a9b082cd81b960712ddf5156a38bd0234ed624af5674dd34a60677d7c11cf9e1,993,0.993,993,0.993,1009,1016,0.9931102362204725,0,0.0,0,0.0,15,1017,0.014749262536873156,,
N4,60,suffix,RS,ACTIVE_TARGET,994,994,994,1.0,0,994,167c89fb129b9e7a1bc92c7032192ddceea9baa697f6400112111500ddda3e92,5a2377e23e36bfeac6b8bbc7cbc3eee746de46bcea540e66cb84ec9a90d04581,989,0.9949698189134809,989,0.9949698189134809,1005,1010,0.995049504950495,0,0.0,0,0.0,15,1011,0.01483679525222552,,
N4,60,suffix,RS,SUPERSEDED,6,6,6,1.0,0,6,da4c13757b947da5ff7515fea41b79dd7912a4dccc6141faede57a69bf6586f8,86bba253704b420f54d4a7b42dcfd1d7bc81225df1243d5e71a7ce29fbaa6f26,4,0.6666666666666666,4,0.6666666666666666,4,6,0.6666666666666666,0,0.0,0,0.0,0,6,0.0,,
N4,60,suffix,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,,
N4,60,suffix,PS,ALL,2000,1000,1938,0.969,0,951,561c2a3b61e3777b41070ea00087eb776c101e59310b21581b2961f321f411e2,cfb2152a99374a39cff0517feda56866ae27653468cb1a952040bd7eb2254bca,1423,0.7115,569,0.569,1454,2032,0.7155511811023622,5,0.0025,0,0.0,35,2034,0.01720747295968535,569,1000
N4,60,suffix,PS,ACTIVE_TARGET,1988,994,1932,0.971830985915493,0,950,8382f962a0306a2cac5e9f50b608788262e6f4134a96a7557c882773391f5b38,8cdcba161489f1557e15e30be37dccad608b79b3e503a078a528f08e7d0d5e27,1422,0.7152917505030181,569,0.5724346076458753,1453,2020,0.7193069306930693,4,0.002012072434607646,0,0.0,34,2022,0.016815034619188922,569,994
N4,60,suffix,PS,SUPERSEDED,12,6,6,0.5,0,1,f188991fee9feb1bb44ad46967dc83abf794128d8ee48e6185148a55694db3b7,2200efece58c659d9da54f076a54f0278c185384be7eef4aae06619aa83fb35f,1,0.08333333333333333,0,0.0,1,12,0.08333333333333333,1,0.08333333333333333,0,0.0,1,12,0.08333333333333333,0,6
N4,60,suffix,PS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,,0,0
