arm,batch,layer,gate,actual_nonzero
N4,1,4,1.0,True
N4,2,4,1.0,True
N4,3,4,1.0,True
N4,4,4,1.0,True
N4,5,4,1.0,True
N4,6,4,1.0,True
N4,7,4,1.0,True
N4,8,4,1.0,True
N4,9,4,1.0,True
N4,10,4,1.0,True
F48,1,4,0.75,True
F48,1,8,0.5,True
F48,2,4,0.75,True
F48,2,8,0.5,True
F48,3,4,0.75,True
F48,3,8,0.5,True
F48,4,4,0.75,True
F48,4,8,0.5,True
F48,5,4,0.75,True
F48,5,8,0.5,True
F48,6,4,0.75,True
F48,6,8,0.5,True
F48,7,4,0.75,True
F48,7,8,0.5,True
F48,8,4,0.75,True
F48,8,8,0.5,True
F48,9,4,0.75,True
F48,9,8,0.5,True
F48,10,4,0.75,True
F48,10,8,0.5,True
G48,1,4,1.0,True
G48,1,8,0.0,False
G48,2,4,0.75,True
G48,2,8,0.5,True
G48,3,4,1.0,True
G48,3,8,0.0,False
G48,4,4,1.0,True
G48,4,8,0.0,False
G48,5,4,1.0,True
G48,5,8,0.0,False
G48,6,4,1.0,True
G48,6,8,0.0,False
G48,7,4,1.0,True
G48,7,8,0.0,False
G48,8,4,1.0,True
G48,8,8,0.0,False
G48,9,4,1.0,True
G48,9,8,0.0,False
G48,10,4,0.75,True
G48,10,8,0.5,True
C4,1,4,1.0,True
C4,2,4,1.0,True
C4,3,4,1.0,True
C4,4,4,1.0,True
C4,5,4,1.0,True
C4,6,4,0.9939162177969818,True
C4,7,4,1.0,True
C4,8,4,0.992543352713192,True
C4,9,4,1.0,True
C4,10,4,1.0,True
C48,1,4,1.0,True
C48,1,8,0.0,False
C48,2,4,0.7537144584968246,True
C48,2,8,0.7005140165601613,True
C48,3,4,0.9798240760988015,True
C48,3,8,0.7508154657794086,True
C48,4,4,0.8855367135523794,True
C48,4,8,0.4939608188363628,True
C48,5,4,0.8224670436115926,True
C48,5,8,0.5463308075840843,True
C48,6,4,0.9956485901607082,True
C48,6,8,0.0,False
C48,7,4,0.8391619156540968,True
C48,7,8,0.6452488792057121,True
C48,8,4,0.991889955772606,True
C48,8,8,0.0,False
C48,9,4,0.7771192041277266,True
C48,9,8,0.439650291287238,True
C48,10,4,0.6318417215227365,True
C48,10,8,0.25692432697079937,True
C45678,1,4,0.998265282065913,True
C45678,1,5,0.0,False
C45678,1,6,0.0,False
C45678,1,7,0.0,False
C45678,1,8,0.0,False
C45678,2,4,0.75,True
C45678,2,5,0.7506035388713365,True
C45678,2,6,0.6875029141412915,True
C45678,2,7,0.0,False
C45678,2,8,0.0,False
C45678,3,4,0.9853711658898512,True
C45678,3,5,0.7504283727996336,True
C45678,3,6,0.0,False
C45678,3,7,0.0,False
C45678,3,8,0.0,False
C45678,4,4,0.9115807799789352,True
C45678,4,5,0.4654999679216739,True
C45678,4,6,0.0,False
C45678,4,7,0.0,False
C45678,4,8,0.0,False
C45678,5,4,0.6373533973051597,True
C45678,5,5,0.526816795207814,True
C45678,5,6,1.0,True
C45678,5,7,0.0,False
C45678,5,8,0.0,False
C45678,6,4,1.0,True
C45678,6,5,0.0,False
C45678,6,6,0.0,False
C45678,6,7,0.0,False
C45678,6,8,0.0,False
C45678,7,4,0.9160078349101454,True
C45678,7,5,0.7638837464702708,True
C45678,7,6,0.0,False
C45678,7,7,0.0,False
C45678,7,8,0.0,False
C45678,8,4,1.0,True
C45678,8,5,0.0,False
C45678,8,6,0.0,False
C45678,8,7,0.0,False
C45678,8,8,0.0,False
C45678,9,4,1.0,True
C45678,9,5,0.0,False
C45678,9,6,0.0,False
C45678,9,7,0.0,False
C45678,9,8,0.0,False
C45678,10,4,0.7112888204943189,True
C45678,10,5,0.7806925375149789,True
C45678,10,6,0.0,False
C45678,10,7,0.0,False
C45678,10,8,0.0,False
