episode,ordinals,native,controllers,diagnostics,final_L4_endpoints,admission,new_native_target_calls,run_mode,S_R_L_allowed
b001,0:100,REUSE,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,0,INDEPENDENT_W0_M0,False
b002,100:200,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b003,200:300,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b004,300:400,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b005,400:500,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b006,500:600,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b007,600:700,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b008,700:800,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b009,800:900,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
b010,900:1000,RUN_MISSING,SCALE;CA;KL-P;EN-S;EN-F;EN-COV;EN-F4,CA-EXACT;RAND+;RAND-,8,T_READY_REQUIRED,100,INDEPENDENT_W0_M0,False
