batch,role,scope,metric,numerator,denominator,percent,ties
1,entry,Current100,RS,5,100,5.0,0
1,entry,Current100,PS,20,200,10.0,0
1,entry,Current100,NS,886,1000,88.6,0
1,own-native,Current100,RS,100,100,100.0,0
1,own-native,Current100,PS,194,200,97.0,0
1,own-native,Current100,NS,865,1000,86.5,0
1,selected,Current100,RS,100,100,100.0,0
1,selected,Current100,PS,194,200,97.0,0
1,selected,Current100,NS,865,1000,86.5,0
2,entry,Current100,RS,11,100,11.0,0
2,entry,Current100,PS,28,200,14.0,0
2,entry,Current100,NS,881,1000,88.1,0
2,own-native,Current100,RS,100,100,100.0,0
2,own-native,Current100,PS,183,200,91.5,0
2,own-native,Current100,NS,867,1000,86.7,0
2,selected,Current100,RS,100,100,100.0,0
2,selected,Current100,PS,183,200,91.5,0
2,selected,Current100,NS,867,1000,86.7,0
3,entry,Current100,RS,8,100,8.0,0
3,entry,Current100,PS,24,200,12.0,0
3,entry,Current100,NS,880,1000,88.0,0
3,own-native,Current100,RS,100,100,100.0,0
3,own-native,Current100,PS,187,200,93.5,0
3,own-native,Current100,NS,866,1000,86.6,0
3,selected,Current100,RS,100,100,100.0,0
3,selected,Current100,PS,187,200,93.5,0
3,selected,Current100,NS,866,1000,86.6,0
4,entry,Current100,RS,13,100,13.0,0
4,entry,Current100,PS,33,200,16.5,0
4,entry,Current100,NS,843,1000,84.3,0
4,own-native,Current100,RS,100,100,100.0,0
4,own-native,Current100,PS,195,200,97.5,0
4,own-native,Current100,NS,804,1000,80.4,0
4,selected,Current100,RS,100,100,100.0,0
4,selected,Current100,PS,195,200,97.5,0
4,selected,Current100,NS,804,1000,80.4,0
5,entry,Current100,RS,7,100,7.0,0
5,entry,Current100,PS,27,200,13.5,0
5,entry,Current100,NS,864,1000,86.4,0
5,own-native,Current100,RS,100,100,100.0,0
5,own-native,Current100,PS,196,200,98.0,0
5,own-native,Current100,NS,851,1000,85.1,0
5,selected,Current100,RS,100,100,100.0,0
5,selected,Current100,PS,196,200,98.0,0
5,selected,Current100,NS,851,1000,85.1,0
6,entry,Current100,RS,12,100,12.0,0
6,entry,Current100,PS,28,200,14.0,0
6,entry,Current100,NS,820,1000,82.0,0
6,own-native,Current100,RS,100,100,100.0,0
6,own-native,Current100,PS,194,200,97.0,0
6,own-native,Current100,NS,808,1000,80.8,0
6,selected,Current100,RS,100,100,100.0,0
6,selected,Current100,PS,194,200,97.0,0
6,selected,Current100,NS,808,1000,80.8,0
7,entry,Current100,RS,8,100,8.0,0
7,entry,Current100,PS,23,200,11.5,0
7,entry,Current100,NS,868,1000,86.8,0
7,own-native,Current100,RS,100,100,100.0,0
7,own-native,Current100,PS,195,200,97.5,0
7,own-native,Current100,NS,854,1000,85.4,0
7,selected,Current100,RS,100,100,100.0,0
7,selected,Current100,PS,195,200,97.5,0
7,selected,Current100,NS,854,1000,85.4,0
8,entry,Current100,RS,14,100,14.0,0
8,entry,Current100,PS,26,200,13.0,0
8,entry,Current100,NS,867,1000,86.7,0
8,own-native,Current100,RS,100,100,100.0,0
8,own-native,Current100,PS,195,200,97.5,0
8,own-native,Current100,NS,827,1000,82.7,0
8,selected,Current100,RS,100,100,100.0,0
8,selected,Current100,PS,195,200,97.5,0
8,selected,Current100,NS,828,1000,82.8,0
9,entry,Current100,RS,13,100,13.0,0
9,entry,Current100,PS,23,200,11.5,0
9,entry,Current100,NS,855,1000,85.5,0
9,own-native,Current100,RS,100,100,100.0,0
9,own-native,Current100,PS,197,200,98.5,0
9,own-native,Current100,NS,813,1000,81.3,0
9,selected,Current100,RS,100,100,100.0,0
9,selected,Current100,PS,197,200,98.5,0
9,selected,Current100,NS,813,1000,81.3,0
10,entry,Current100,RS,12,100,12.0,0
10,entry,Current100,PS,29,200,14.5,0
10,entry,Current100,NS,836,1000,83.6,0
10,own-native,Current100,RS,99,100,99.0,0
10,own-native,Current100,PS,192,200,96.0,0
10,own-native,Current100,NS,808,1000,80.8,0
10,selected,Current100,RS,99,100,99.0,0
10,selected,Current100,PS,192,200,96.0,0
10,selected,Current100,NS,808,1000,80.8,0
