cohort,age_batches,scope,metric,numerator,denominator,percent,ties
1,9,W10_cohort,RS,100,100,100.0,0
1,9,W10_cohort,PS,195,200,97.5,0
1,9,W10_cohort,NS,818,1000,81.8,0
2,8,W10_cohort,RS,98,100,98.0,0
2,8,W10_cohort,PS,185,200,92.5,0
2,8,W10_cohort,NS,813,1000,81.3,0
3,7,W10_cohort,RS,100,100,100.0,0
3,7,W10_cohort,PS,189,200,94.5,0
3,7,W10_cohort,NS,799,1000,79.9,0
4,6,W10_cohort,RS,100,100,100.0,0
4,6,W10_cohort,PS,194,200,97.0,0
4,6,W10_cohort,NS,751,1000,75.1,0
5,5,W10_cohort,RS,100,100,100.0,0
5,5,W10_cohort,PS,196,200,98.0,0
5,5,W10_cohort,NS,798,1000,79.8,0
6,4,W10_cohort,RS,100,100,100.0,0
6,4,W10_cohort,PS,194,200,97.0,0
6,4,W10_cohort,NS,771,1000,77.1,0
7,3,W10_cohort,RS,100,100,100.0,0
7,3,W10_cohort,PS,197,200,98.5,0
7,3,W10_cohort,NS,841,1000,84.1,0
8,2,W10_cohort,RS,100,100,100.0,0
8,2,W10_cohort,PS,192,200,96.0,0
8,2,W10_cohort,NS,826,1000,82.6,0
9,1,W10_cohort,RS,100,100,100.0,0
9,1,W10_cohort,PS,197,200,98.5,0
9,1,W10_cohort,NS,809,1000,80.9,0
10,0,W10_cohort,RS,99,100,99.0,0
10,0,W10_cohort,PS,192,200,96.0,0
10,0,W10_cohort,NS,808,1000,80.8,0
