batch,accepted_rounds,attempted_trial_slots,duplicate_trials,gradient_rounds,gradient_sweeps,guard_calls,guard_seconds,invariant_calls,invariant_seconds,nonfinite_objective_trials,nonfinite_weight_trials,objective_seconds,objective_trial_sweeps,projection_seconds,proposal_check_seconds,proposal_checks,rejected_trials,shared_initial_gradient_reuses,wall_cumulative,peak_GPU_bytes,host_peak_KiB
1,1,2,0,1,0,1,102.87522185966372,1,331.27964061964303,0,0,48.879524916410446,2,17.026646088808775,10.922585548833013,2,1,1,1328.726018155925,35702145536,34568672
2,1,2,0,1,1,1,108.4278574064374,1,297.115127639845,0,0,81.31598161254078,2,14.07793590426445,10.493877676315606,2,1,0,2852.8086546249688,35702145536,34568672
3,1,2,0,1,1,1,133.39624391961843,1,337.86684104334563,0,0,94.1032003313303,2,14.896294713020325,14.810231782495975,2,1,0,4498.800228769891,35702145536,34568672
4,1,2,0,1,1,1,125.76230583712459,1,335.26977941114455,0,0,83.21280199289322,2,14.103630946949124,10.84210891649127,2,1,0,6130.829597077332,35702145536,34568672
5,1,2,0,1,1,1,123.31605592463166,1,332.7628071932122,0,0,85.23835337907076,2,14.116784355603158,10.86369333975017,2,1,0,8203.891015017405,35702145536,34568672
6,1,1,0,1,1,1,133.29570307955146,1,355.283641949296,0,0,63.6497973902151,1,13.977653831243515,5.2661107294261456,1,0,0,9744.144082080573,35702145536,34568672
7,1,1,0,1,1,1,117.1835240535438,1,300.7482512900606,0,0,62.69036800414324,1,14.049782876856625,5.650965351611376,1,0,0,11177.993301767856,35702145536,34568672
8,1,1,0,1,1,1,121.45189987588674,1,334.3325095809996,0,0,57.61715251393616,1,14.015772095881402,8.218316511251032,1,0,0,12731.285305174068,35702145536,34568672
9,1,3,0,1,1,3,354.3981095897034,1,353.10524736717343,0,0,107.21323986072093,3,13.636937836185098,17.746902839280665,3,2,0,14703.306019037962,35702145536,34568672
10,1,4,0,1,1,3,356.4663988966495,1,320.9965856615454,0,0,128.5949138365686,4,14.017477253451943,20.94568771775812,4,3,0,17734.301566499285,35702145536,34568672
