scope,metric,numerator,denominator,percent,ties
W5_full500,RS,500,500,100.0,0
W5_full500,PS,959,1000,95.9,0
W5_full500,NS,4193,5000,83.86,0
W10_full1000,RS,997,1000,99.7,0
W10_full1000,PS,1931,2000,96.55,0
W10_full1000,NS,8034,10000,80.34,0
W10_first500,RS,498,500,99.6,0
W10_first500,PS,959,1000,95.9,0
W10_first500,NS,3979,5000,79.58,0
W10_last500,RS,499,500,99.8,0
W10_last500,PS,972,1000,97.2,0
W10_last500,NS,4055,5000,81.1,0
pooled_atwrite1000_DIFFERENT_W,RS,999,1000,99.9,0
pooled_atwrite1000_DIFFERENT_W,PS,1928,2000,96.4,0
pooled_atwrite1000_DIFFERENT_W,NS,8364,10000,83.64,0
