batch,trial,passed,actual_leakage_pass,actual_max_token_normalized_response,actual_norm,actual_projection_leakage_relative,actual_response_pass,ideal_norm,ideal_pass,ideal_response_denominator,ideal_response_relative,logit_elements,logit_max,logit_rms,logits_NLL_ID_stationarity,max_NLL_difference,pair_symmetric_difference,pass,rounding_delta_norm,strict_symmetric_difference,valid_key_columns
1,1,True,True,2.7000590410654662e-08,0.016645400463242786,3.0342241219065512e-06,True,0.016645400045902998,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",4.9106214412989867e-17,1335914496,9.870529174804688e-05,3.184222335048803e-06,NOT_TESTED_BY_GEOMETRY,2.574920654296875e-05,[],True,1.965614588399563e-06,[],4596
2,1,True,True,2.6223813699050994e-08,0.029355453104679578,1.7398947099429438e-06,True,0.029355452837478993,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.939204505150722e-17,1352331264,6.085634231567383e-05,3.2696966495594913e-06,NOT_TESTED_BY_GEOMETRY,4.1484832763671875e-05,[],True,1.97548841716887e-06,[],4727
3,1,True,True,2.6260908848024816e-08,0.04021048416179019,1.264976605536503e-06,True,0.04021048407153103,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.842588901259144e-17,1354511616,6.4849853515625e-05,3.2237734614117484e-06,NOT_TESTED_BY_GEOMETRY,4.76837158203125e-05,[],True,1.985037884598087e-06,[],4494
4,1,True,True,2.606201889768036e-08,0.03935331126433337,1.311690107693277e-06,True,0.03935331147001512,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.067444135156183e-17,1307185152,6.937980651855469e-05,3.3011383176373356e-06,NOT_TESTED_BY_GEOMETRY,5.91278076171875e-05,[],True,1.9946871151649293e-06,[],4542
5,1,True,True,2.5979748024182424e-08,0.06028592085715681,8.543193788980606e-07,True,0.06028592106735464,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",4.9850017087265536e-17,1296668160,6.437301635742188e-05,3.336298098704755e-06,NOT_TESTED_BY_GEOMETRY,2.09808349609375e-05,[],True,2.004434309121933e-06,[],4477
6,0,True,True,2.6500852217355834e-08,0.09875711256432408,5.305671479524459e-07,True,0.09875711270140845,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.1675727549817886e-17,1379906304,7.152557373046875e-05,3.3738230530795214e-06,NOT_TESTED_BY_GEOMETRY,4.00543212890625e-05,[],True,2.015304914081698e-06,[],4751
7,0,True,True,2.5977183392336516e-08,0.11751891328902853,4.5029417772422275e-07,True,0.11751891328789041,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.1861483515057905e-17,1341686016,7.224082946777344e-05,3.3896620239037845e-06,NOT_TESTED_BY_GEOMETRY,4.38690185546875e-05,[],True,2.0257104062111465e-06,[],4683
8,0,True,True,2.6029267057207295e-08,0.11431403371894619,4.643430487308963e-07,True,0.11431403392486063,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.496799004138775e-17,1336812288,9.34600830078125e-05,3.5269383335836786e-06,NOT_TESTED_BY_GEOMETRY,3.4332275390625e-05,[],True,2.036132542341985e-06,[],4691
9,2,True,True,2.585626584390796e-08,0.03230942111585,1.6476802250098492e-06,True,0.032309420823856204,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",5.453780735622563e-17,1285253376,6.67572021484375e-05,3.333731571919511e-06,NOT_TESTED_BY_GEOMETRY,2.6702880859375e-05,[],True,2.0469625088042074e-06,[],4349
10,3,True,True,2.6074710695786642e-08,0.025225886585687113,2.1392121569203727e-06,True,0.0252258866351309,True,"Frobenius(Dideal)*Frobenius(K), zero product -> zero",6.864563216176817e-17,1310904576,7.43865966796875e-05,3.4095453156053273e-06,NOT_TESTED_BY_GEOMETRY,3.4332275390625e-05,[],True,2.0580330029748143e-06,[],4635
