batch,key_columns,P_star_rank,rank_J,q,ambiguity,tau,sigma_min,sigma_max,G_norm,GQ_norm,chi,GP_norm,actual_norm,ideal_norm,fallback,trials,accepted_trial,stop
1,4596,14326,4596,9730,0,1.052602151424415e-10,2.0698553428997348e-08,33.09017630130098,0.06936396487946916,0.051693195548314204,0.0026721864659962516,NOT_RECORDED,0.016645400463188846,0.016645400045902776,False,2,1,GRADIENT_BUDGET_EXHAUSTED
2,4727,14326,4727,9599,0,1.0662687934466853e-10,2.0614547746913234e-08,33.51980832642245,0.08133888567328515,0.05929169391738382,0.00351550496759273,NOT_RECORDED,0.029355453104484786,0.029355452837479562,False,2,1,GRADIENT_BUDGET_EXHAUSTED
3,4494,14326,4494,9832,0,1.0567632321267736e-10,2.080494987414791e-08,33.22098630758745,0.0775868209559263,0.05681198799492389,0.003227601979935376,NOT_RECORDED,0.040210484161581156,0.04021048407153108,False,2,1,GRADIENT_BUDGET_EXHAUSTED
4,4542,14326,4542,9784,0,1.0503156643146803e-10,2.099165448109768e-08,33.0182970433407,0.10181673179643683,0.07537612946389477,0.005681560892957825,NOT_RECORDED,0.0393533112641233,0.0393533114700166,False,2,1,GRADIENT_BUDGET_EXHAUSTED
5,4477,14326,4477,9849,0,1.0549383469423797e-10,2.090982024228267e-08,33.16361821993961,0.07648553781447885,0.05520302172239941,0.0030473736072837007,NOT_RECORDED,0.060285920856397286,0.06028592106735503,False,2,1,GRADIENT_BUDGET_EXHAUSTED
6,4751,14326,4751,9575,0,1.079325959459407e-10,2.036973573447237e-08,33.930280530732155,0.10255614008684087,0.07489408248109156,0.005609123590684544,NOT_RECORDED,0.09875711256249796,0.09875711270140558,False,1,0,GRADIENT_BUDGET_EXHAUSTED
7,4683,14326,4683,9643,0,1.0610367464402701e-10,2.0861510098725003e-08,33.35533083829962,0.1027541389745555,0.07453164250415494,0.005554965734367154,NOT_RECORDED,0.11751891328642097,0.11751891328788919,False,1,0,GRADIENT_BUDGET_EXHAUSTED
8,4691,14326,4691,9635,0,1.0736305574930371e-10,2.0519142916652116e-08,33.75123676294304,0.112098251580175,0.08190326112640031,0.006708144183139315,NOT_RECORDED,0.11431403371644415,0.11431403392486321,False,1,0,GRADIENT_BUDGET_EXHAUSTED
9,4349,14326,4349,9977,0,1.0535994962510684e-10,2.0855276952964415e-08,33.12152937815199,0.10097209032623047,0.07431092823104361,0.005522114054559315,NOT_RECORDED,0.03230942111564996,0.03230942082385773,False,3,2,GRADIENT_BUDGET_EXHAUSTED
10,4635,14326,4635,9691,0,1.03896110192257e-10,2.072654500959296e-08,32.66134881663358,0.06794642452382142,0.04766691810942262,0.0022721350820504023,NOT_RECORDED,0.025225886585550666,0.02522588663513073,False,4,3,GRADIENT_BUDGET_EXHAUSTED
