batch,role,rewrite_strict,two_P_strict,R_two_P_strict,R_two_P_NLL_joint,denominator,generation_prefix_match,generation_censored,generation_max32
1,entry,0,0,0,5,100,0,0,100
1,own-native,100,44,44,96,100,100,0,100
1,selected,100,44,44,96,100,100,0,100
2,entry,0,0,0,6,100,0,0,100
2,own-native,100,53,53,87,100,100,0,100
2,selected,100,53,53,87,100,100,0,100
3,entry,1,0,0,4,100,1,0,100
3,own-native,100,43,43,90,100,100,0,100
3,selected,100,43,43,90,100,100,0,100
4,entry,1,0,0,8,100,1,0,100
4,own-native,100,56,56,95,100,100,0,100
4,selected,100,56,56,95,100,100,0,100
5,entry,2,1,0,5,100,2,0,100
5,own-native,100,50,50,97,100,100,0,100
5,selected,100,50,50,97,100,100,0,100
5,fullseen,498,250,250,466,500,498,0,500
6,entry,0,0,0,5,100,0,0,100
6,own-native,100,45,45,94,100,100,0,100
6,selected,100,45,45,94,100,100,0,100
7,entry,0,0,0,5,100,0,0,100
7,own-native,100,57,57,96,100,100,0,100
7,selected,100,57,57,96,100,100,0,100
8,entry,1,0,0,6,100,1,0,100
8,own-native,100,51,51,96,100,100,0,100
8,selected,100,51,51,96,100,100,0,100
9,entry,1,0,0,6,100,1,0,100
9,own-native,100,55,55,98,100,100,0,100
9,selected,100,55,55,98,100,100,0,100
10,entry,2,0,0,6,100,2,0,100
10,own-native,99,47,47,94,100,99,0,100
10,selected,99,47,47,94,100,99,0,100
10,fullseen,994,515,515,945,1000,994,0,1000
