branch	commit	subject
codex/ode-bf-dynamic-layer-proposal	3083ad4100f56fe48e8948fdd33e18faeb057072	chore: raise server2 ODE GPU cap to four
codex/odeeditsh1	9a7a3c45afdfe51c00e41ae5bf9001f62f9fd182	docs: align simple-T runtime status
codex/odeeditsh1-bf16-context-lock-v5-prep-v1	1e0440792297930820059212dead9f93af27edc5	feat: prepare prelocked P1 smax8 continuation
codex/odeeditsh1-bf16-context-probe-run-v1	c0df0d3dd466353f11ae6bfacc7f9103cff25900	docs: record BF16 context calibration
codex/odeeditsh1-bf16-context-probe-v1	13a09da5053c7b172918195a8307fe317d889aba	feat: add BF16 context lock probe
codex/odeeditsh1-ct-k4-v1	cdb80bc70032c203334531edb7020ff654f2938d	Separate GPU identity from runtime capacity
codex/odeeditsh1-event-strength-rca-v1	7b1241d4de67abf9c5ef07161ca0358d4064464c	runner: validate V4 calibration metadata
codex/odeeditsh1-p0-orig-v1	66788139c78fd445c83c3e06cc1020435ef8f789	docs: record original-dtype P0 preflight failure
codex/odeeditsh1-s05-alloff-fulltau-p1r4-v1	c3d45eba301d3e449a03a21f7ce65b5aa70d07c2	Add S05 preservation-all-off full-tau pilot
codex/odeeditsh1-s05-bg-soft-missing-cell-p1r12-a1-r1-package	542146f1468614a78e9640adb466547c41f822eb	Package repaired R12 execution checkpoint portably
codex/odeeditsh1-s05-bg-soft-missing-cell-p1r12-a1-runtime-r1	bfd77ddbf046333c59a8e589429d426fd5eee4c4	Repair R12 six-context receipt adapter
codex/odeeditsh1-s05-bg-soft-missing-cell-p1r12-v1	83ff6cc20df60ea417367ff735c92c0f7b772691	Repair R12 portable package closure
codex/odeeditsh1-s05-canonical-alpha-posfield-p1r11-v1	58a7d2783650450ec3482673d2e37c4e15826dc5	Implement canonical Alpha positive-field R11 panel
codex/odeeditsh1-s05-cold-structp-softp-noveto-p1r6-v1	dfdfd703cc4b580cf2c11fb84946cefbb5f30bb7	Repair layer-local cold target overlay
codex/odeeditsh1-s05-common-coldcoord-fixed-e8-p1r10-v1	38592cd14eddbfd40cd063b1891c75588ddcb7fa	repair R10 effective coefficient and tie receipts
codex/odeeditsh1-s05-coupled-demand-soft-transport-p1r16-v1	88acfd9e9dd1a7e62854a39298ea2a674cfe99a5	fix(p1r16): resolve held log job tokens
codex/odeeditsh1-s05-fixed-e8-r8-bound-snap-r1	3711f371c16e360d809dd5f0b4b1a5271a870c26	Prepare distinct fixed-E8 R8 repair execution
codex/odeeditsh1-s05-fixed-e8-soft-routing-p1r7-v1	ba9fa97e2472b207237ef2d5e1d1a8cf46eeda62	Align fixed-E8 target and physical Euler writes
codex/odeeditsh1-s05-fpoff-fulltau-p1r3-v1	b29f5ac293b18c8b2513eac214ba539d6ea74517	Add S05 functional-P-off full-tau diagnostic
codex/odeeditsh1-s05-full-drive-soft-dynamic-p1r17-v1	f705150920b407914edd211e543a447b8143cf9c	Fix P1R17 terminal live-arm status
codex/odeeditsh1-s05-integrated-physical-writer-p1r14-tech-r1-exec	f0f48f964750dbd11483ea327ae679c24c710fde	Fix P1R14 terminal metric schema adapter
codex/odeeditsh1-s05-integrated-physical-writer-p1r14-v1	6184857ef7171920e5193e7609f5fc1596bc67b0	Bind P1R14 TECH-R4 output namespaces
codex/odeeditsh1-s05-newnll-psoft-hard-p1r5-v1	b43c25c57804353ad67c10185d49db6ad0e22aec	Repair matched policy trial field projection
