accepted_index,accepted_request_count,active_count,active_to_frozen_count,active_unclamped_expected_displacement_norm,active_unclamped_norm_max_abs_residual,actual,adam_bias_access,adam_lr_access,adam_state_access,alias,arm,capacity,carried_frozen_input,carried_mask_influence,case,count_lt_005,energy,entropy,equality_residual,field_sha256,finite_demand,fresh_divisions,full_residual_identity_max_abs,full_writer_demand_norm,gradient_norm_mean,gradient_norm_median,gradient_norm_p90,gradient_norm_worst,held_count,identity_sha256,inner_heldout,k,lag_divisions,linearization_error,negative_actual,nominal_displacement_norm_mean,old_rho,per_layer_applied_progress,per_request_python_model_calls,persistent_mask_influence,physical_h_count,pi,post_clamp_displacement_norm_mean,pre_clamp_displacement_norm_mean,predicted,q,raw_cap_access,raw_cap_application,reactivated_count,realization,receipt_sha256,rejected_request_count,remaining_divisions,routing_fallback,routing_status,second_h_count,selection_added_backward,selection_added_forward,semantic_debt,structural_p,target_current_mean,target_direction_policy,target_displacement_norm,target_selected_mean,target_selected_median,target_selected_p90,target_selected_worst,target_trial_mean,top1,velocity,velocity_decay_access,w_only_target_new_nll,z_minus_y_norm,z_w_same_step_gap
1,10,10,0,0.7821395852379757,3.519406988061746e-13,2.084232759475709,0,0,0,llama3-8b-inst,Neutral,0.029077399261443527,0,0,1,0,0.05815479852275747,1.6089279394879579,4.440892098500626e-16,7f6f1088c645c81d0e793cb4b2a97f824ec9867c295da9ffde2aefcbad328de4,3.0059271335601814,0,0.0,2.473342542178296,5.153748810059565,4.752190442026094,8.53391659365669,9.006336520157884,0,feb5c0b24b8177c66d4ed3f966831e291868b2141b4e8224c00e39a9f3b3894a,0,1,0,-0.9216943740844727,0,0.78213958523779,4.030950949481921,"[0.5803157657090459,0.5882275934956502,0.6083076876712227,0.5939575032687702,0.6351185834154925]",0,0,1,"[0.19305716337232942,0.19568923907977806,0.20236940572499867,0.19759544289594755,0.2112887489269463]",0.782139586734569,0.78213958523779,3.005927133560182,18.67120671272278,0,0,0,0.6933743457069358,e8a50872d9c83b1dc431f1fcb1c38eb86782dfd93035d829e980aab2735f0aea,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,8.913654545904097e-05,11.696291494369508,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.473342542178296,8.690364360809326,8.553053855895996,10.643473815917968,14.620946884155273,8.690364360809326,0.2112887489269463,"[0.16099265461572485,0.16099265461572482,0.16099265461572487,0.16099265461572487,0.16099265461572485]",0,11.696291494369508,0.0,3.0059271335601814
2,10,10,0,0.7821395852379757,3.362865541589599e-13,4.695380443334579,0,0,0,llama3-8b-inst,Neutral,0.136052230464917,0,0,1,0,0.2688694446730625,1.6073454149978517,0.0,86ad1e9d0e220fb2d6c15dfb546b4a7b7ebfea2611b5ca722e5eb8838ac447e1,4.639362955093383,0,0.0,3.5847632892346226,4.450552636336859,4.289112628055955,6.739088156501869,8.210337933770623,0,a776eeeb3dc995881d2ea1c7b107669ffc0471b2cac3c33454ff1e7ba235dc86,0,2,0,0.05601748824119568,0,0.7821395852377708,4.320506817339533,"[0.8487051530869176,0.8850178127596215,0.9398078694340605,0.9391895827392691,1.0266425370735144]",0,0,1,"[0.18293570934241218,0.19076278819444242,0.20257261148371256,0.20243934174371245,0.2212895492357204]",0.7821395865018559,0.7821395852377708,4.639362955093383,19.573368072509766,0,0,0,1.0120743922780786,667746d5b525601249369cca21272fd1a9aeac2b29cc0c42162d14d2bdd589ae,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.0007506743799792424,8.569371891021728,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.47334254231465,4.972695779800415,4.797194004058838,8.218953132629393,11.74503231048584,4.972695779800415,0.2212895492357204,"[0.2370242534604576,0.2370242534604576,0.23702425346045758,0.23702425346045763,0.23702425346045758]",0,9.612058734893798,1.9338286793846966,4.639362955093383
3,10,10,0,0.7821395852379757,8.146816554699399e-13,2.111184185743332,0,0,0,llama3-8b-inst,Neutral,0.14156835478620006,0,0,1,0,0.26522805663715193,1.603415484077639,4.440892098500626e-16,83e08162fa1c54092f325e57486382372c25feef5a1ccbc313ddaa097992edc4,2.7553674317896366,0,0.0,4.314693303927347,4.947751260328384,5.335961565658787,7.113318081313307,8.340841125068858,0,8f1cd881cffebcfaf9d8c4f41644420d319701ef83b8e7eda2a1a020ba39ee71,0,3,0,-0.6441832460463042,0,0.7821395852377486,3.799188157974184,"[0.4838340361427705,0.4954419812508422,0.5474533392360292,0.5759441721145052,0.6526939030454895]",0,0,1,"[0.17559692059962972,0.17980976893852885,0.19868614723389297,0.20902626831893129,0.23688089490901718]",0.7821395850036772,0.7821395852377486,2.755367431789636,14.245527744293213,0,0,0,0.7662078608410248,29539d76e1d45059833b075b6b426d375f79b86c42da035417368001701a035f,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.001518896492129611,4.918764016032219,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.4733425375008538,2.161310859769583,1.7166662216186523,4.676128244400024,4.742250919342041,2.161310859769583,0.23688089490901718,"[0.1934198213817275,0.1934198213817275,0.19341982138172747,0.1934198213817275,0.19341982138172747]",0,4.9166782915592195,3.553188963981978,2.7553674317896366
4,10,10,0,0.7821395852379757,3.6012304249766203e-12,1.4997614175081253,0,0,0,llama3-8b-inst,Neutral,0.09670441239749043,0,0,1,2,0.17231198328355088,1.5952916290277086,0.0,98af6ce68c7746d9546c554082c238bd824972d7ae7a9a3fe9e06d49fb0fd7c5,2.0016788198612634,0,0.0,4.56388347380577,4.391070996114353,3.4890241610063386,7.068018262120866,14.810007466174971,0,3fffab73fb4bba21eb62200569699d8073247c60fc831fcbd308f1e51e6a6e8a,0,4,0,-0.5019174023531381,0,0.7821395852373804,3.7735548435631716,"[0.30894606112673006,0.3525718903345399,0.40120283631980674,0.4338482991576618,0.5051097329225249]",0,0,1,"[0.1543434731193005,0.17613809310275697,0.20043317256442475,0.21674221401200217,0.2523430472015156]",0.7821395861484368,0.7821395852373804,2.0016788198612634,13.487244367599487,0,0,0,0.7492517793695417,cccb4bd857d1d6107b71a0c3fc753cb9194756439e602e5d4138a2ad8b8d2a96,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.002250671436923443,2.1944976806640626,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.4733425395760507,0.8038152859546244,0.29670122265815735,2.0358952999114988,2.8682122230529785,0.8038152859546244,0.2523430472015156,"[0.14841273467765678,0.14841273467765675,0.14841273467765678,0.14841273467765675,0.14841273467765678]",0,2.8054941058158875,3.6839648287793727,2.0016788198612634
5,7,9,1,0.7821395852379757,1.5257795027423526e-12,0.6630315463989974,0,0,0,llama3-8b-inst,Neutral,0.059894370518749435,0,0,1,4,0.10345567009578303,1.6023707590305005,0.0,01dae02d52e7c7e81e679f603e40f8d229207c245ca99bcc61fcacad957272cd,0.9778485953807832,0,0.0,4.339425539477355,2.466949822678748,1.5761473186885344,5.492614151871193,6.327205240146392,1,9be93441f069254ec4c89fd91501b0c7bb17405104ce1e829a54a6278bfcf0a3,0,5,0,-0.31481704898178575,0,0.7039256267136622,2.0278827613774624,"[0.16909918050340852,0.17447199015801276,0.19231291254688052,0.20894380736100585,0.2330207048114755]",0,0,1,"[0.17292981889242245,0.17842433990516884,0.196669416365007,0.2136770542474842,0.23829937058991746]",0.7039256266903848,0.7039256267136622,0.9778485953807832,8.019546747207642,0,0,0,0.6780513358922695,cebcaad6498cd18a1f6c9fa46f789568557aec2c888288dcfbb39fe0b32fc921,2,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.0030095187618659758,0.8046113263815642,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.0693468333770855,0.32788409292697906,0.05237306281924248,0.8799474656581876,1.6762168407440186,0.3608841208741069,0.23829937058991746,"[0.1219331498655163,0.12193314986551629,0.1219331498655163,0.1219331498655163,0.1219331498655163]",0,1.3057326883077622,3.6333521760104603,0.9778485953807832
6,6,9,0,0.7821395852379757,4.600098080231874e-12,0.32117728684097524,0,0,0,llama3-8b-inst,Neutral,0.04779744957839037,0,0,1,7,0.0810705699725691,1.5833055204231736,0.0,6975248f5c7eba3a16fa14f19f31fbe5ac72522a033157a57436d515610a5c90,0.45472666403511536,0,0.0,4.236588711044937,1.3496374688716897,0.5764772398996548,3.2565470287787175,4.553474026174792,1,732adc96a0292f4fc9ccd96171565a57cad57d722e199dfdf6302d8df0a85e01,0,6,0,-0.13354937719414012,0,0.7039256267127889,0.8940587970857863,"[0.06511371174422233,0.07553394158036954,0.08871067258723346,0.09940847851690163,0.1259598596063884]",0,0,1,"[0.1431930803582568,0.16610845053620296,0.19508570665295966,0.2186115008844632,0.27700126156811733]",0.7039256259940929,0.7039256267127889,0.45472666403511536,4.120506703853607,0,0,0,0.7063084535009072,f612ac4818941e3d36b50ea50e516640285f23de9bd2cc8b3bad79222c91f10a,3,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.0037989851544308834,0.33438532389700415,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,1.9158428924615882,0.18797447787364946,0.009818329475820065,0.5225836873054501,1.312118411064148,0.21949962036451326,0.27700126156811733,"[0.11035697711881962,0.1103569771188196,0.11035697711881962,0.11035697711881962,0.11035697711881962]",0,0.6427011419087648,3.6775299743193424,0.45472666403511536
7,2,9,0,0.7821395852379757,4.8160364585214666e-12,0.11798514768015594,0,0,0,llama3-8b-inst,Neutral,0.1257164263931137,0,0,1,7,0.21022666958853897,1.5472155396596472,2.7755575615628914e-17,2cf12782a3333ce45936c44b92694ca4b805ba4f8f7eba5620b0ef23df5f63c6,0.20621092771179977,0,0.0,3.8324905777655007,1.0132243860945456,0.4688203372833586,1.9316543260930548,4.433009378451451,1,726e732d696b51a79f5a3e5d0a18eaa0c69b3669160daca5ce2a8f56271b0beb,0,7,0,-0.0882257800316438,0,0.7039256267124472,0.32744521647452046,"[0.02377954382569857,0.03137843876814147,0.039358125988002576,0.04412110817930118,0.06757371095065597]",0,0,1,"[0.11531660368131819,0.15216671161091885,0.19086343495340588,0.2139610575874272,0.32769219216692985]",0.7039256252190417,0.7039256267124472,0.20621092771179975,1.0459775775671005,0,0,0,0.5721575912042824,6ad9d03d3de8e8d44aef76dbe15192e1125d36fecafa33aa8a6f9ddca351c2f0,7,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.005428246956334365,0.17587219504639506,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,1.1061124033747782,0.11531292735598982,0.009826400317251682,0.43788164258003226,0.5949474573135376,0.16109966109506785,0.32769219216692985,"[0.197146604415209,0.19714660441520898,0.197146604415209,0.197146604415209,0.19714660441520898]",0,0.3215238550677896,3.707881082694658,0.20621092771179977
8,3,9,0,0.7821395852379757,5.123457214040172e-12,0.11789891198277475,0,0,0,llama3-8b-inst,Neutral,0.09669954565175845,0,0,1,8,0.155995409644054,1.5320770625285414,0.0,f4fe063a46b35d6bc7cbe86ea155d1cf10ecaa6fed3d33ebe271dfc794b237fd,0.14252735299523922,0,0.0,3.5451076558979557,0.8116097716602236,0.4668768443715494,1.7098331356470102,2.56900548419693,1,ca8392dc545c31148871d2722ca65f2767d06e9a5e439226dd9c78a1cfdd750b,0,8,0,-0.024628441012464475,0,0.7039256267123731,0.2815004864515803,"[0.014698010835358,0.021085823094000967,0.025635752418748752,0.033464182924094504,0.047643583723036995]",0,0,1,"[0.10312414092085855,0.14794229073141693,0.17986549164078738,0.2347913030084288,0.33427677369850833]",0.7039256272075055,0.7039256267123731,0.14252735299523922,0.7761571258306503,0,0,0,0.8272020037156353,ef266e2a9572fa462a1a9f1b8448d27471b573e2b0f64075d459877fe89ccd0e,6,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.0068718446020691725,0.1164195534773171,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,1.354705502752525,0.061011354392394426,0.00983346439898014,0.10766331553459156,0.4129452109336853,0.10337804681621492,0.33427677369850833,"[0.18363208717913293,0.18363208717913293,0.18363208717913293,0.18363208717913293,0.1836320871791329]",0,0.20353870738763363,3.2522642716721464,0.14252735299523922
1,10,10,0,0.712824468306839,3.86468634872017e-13,1.7961771488189697,0,0,0,llama3-8b-inst,Neutral,0.020415807219195906,0,0,2,0,0.04083161443827839,1.6074772926933762,4.440892098500626e-16,aa5546ae1e6b8bd34841d91158323f16edb8937de092f96892c2c12aab2baa39,2.9818505287170414,0,0.0,2.2541488903696716,5.695836090647804,5.433157187000474,8.951556615418738,8.972267703180895,0,821e883e51acef187fc446dc6fbde4017333ec6dd414b5f1c1e01a83e7c32508,0,1,0,-1.1856733798980712,0,0.7128244683066829,4.060131324693086,"[0.6579958013955396,0.6013791233537235,0.5787852395714517,0.5429460907390143,0.6007442736573122]",0,0,1,"[0.2206669298338861,0.2016798352439451,0.19410270031894503,0.1820836039600617,0.20146693064316204]",0.7128244678989994,0.7128244683066829,2.981850528717041,19.797609090805054,0,0,0,0.6023699482989119,58935dd9f8e1d224878820538eec09abdd0aeb211f233ad92c715f65bd094dbe,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,7.360997432671457e-05,11.216317272186279,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.2541488903696716,8.234466743469238,7.616250514984131,13.97783603668213,14.399225234985352,8.234466743469238,0.2206669298338861,"[0.15061669896805638,0.15061669896805638,0.15061669896805638,0.15061669896805638,0.15061669896805638]",0,11.216317272186279,0.0,2.9818505287170414
2,10,10,0,0.712824468306839,3.6692870963861424e-13,2.997501614689827,0,0,0,llama3-8b-inst,Neutral,0.0682696424813314,0,0,2,0,0.135380875906325,1.6042092341757912,4.440892098500626e-16,70f3c7ef3c59d85c371da4d3aecfbda3c8770609789c0ef7b0659ac4cb4f97b1,3.618849739432335,0,0.0,3.3464476787811157,4.652202050997458,4.355240683012636,6.306991929891068,8.88047807028321,0,59a54aff257a20ef7d3cd228fb78764e0ef17a19a3dfdbf723909bd5ae7693af,0,2,0,-0.6213481247425086,0,0.7128244683066616,4.238960381981283,"[0.6299041805737352,0.6713072894166703,0.7269394862302535,0.7408247550035114,0.8498740282081644]",0,0,1,"[0.17406198818095833,0.18550294644783286,0.2008758413783391,0.20471277017423767,0.23484645381863203]",0.7128244677019754,0.7128244683066616,3.6188497394323353,19.704291105270386,0,0,0,0.8283023144141919,b1d9aa4e34bd8da34557b095443cdc7c5a7775534ef7749ea179136162a7c039,0,0,NOT_RECORDED,NOT_RECORDED,0,0,0,0,0.0005027720896880739,8.151772344112397,PER_REQUEST_NORMALIZED_COMPOSITE_GRADIENT,2.2541488898329947,5.801290383934974,4.869093418121338,11.322719097137451,11.495577812194824,5.801290383934974,0.23484645381863203,"[0.183657951463394,0.18365795146339403,0.183657951463394,0.183657951463394,0.183657951463394]",0,9.42014012336731,1.7885403821080545,3.618849739432335
