accepted_z_rephrase_nll,accepted_z_rewrite_nll,case_index,cumulative_outer_entry_movement_norm,depth,global_target_update_ordinal,inner_index,inner_step_movement_norm,outer_step_index,request_index,target_objective_nll
"[3.546875, 12.625]",10.875,1,0.7354982851988084,IL8-FULL,0,0,0.7354982851988084,0,0,8.766254425048828
"[6.59375, 3.15625]",7.84375,1,0.6533345746408941,IL8-FULL,0,0,0.6533345746408941,0,1,8.061477661132812
"[9.5, 12.4375]",9.0625,1,0.9669255929811142,IL8-FULL,0,0,0.9669255929811142,0,2,9.176403999328613
"[12.5625, 12.0625]",9.5,1,0.8063902524300579,IL8-FULL,0,0,0.8063902524300579,0,3,9.676481246948242
"[4.0625, 4.5625]",2.34375,1,0.3553232377674781,IL8-FULL,0,0,0.3553232377674781,0,4,3.2859809398651123
"[10.125, 11.375]",8.25,1,0.6881847863094458,IL8-FULL,0,0,0.6881847863094458,0,5,7.908607482910156
"[10.375, 6.1875]",10.5,1,0.7207321982228097,IL8-FULL,0,0,0.7207321982228097,0,6,8.68604850769043
"[9.125, 9.625]",5.875,1,0.8413782465845003,IL8-FULL,0,0,0.8413782465845003,0,7,7.32050085067749
"[9.5625, 12.125]",15.4375,1,1.0769593132641497,IL8-FULL,0,0,1.0769593132641497,0,8,13.9915189743042
"[11.625, 9.8125]",10.6875,1,0.7598306714562404,IL8-FULL,0,0,0.7598306714562404,0,9,10.228379249572754
"[3.34375, 12.5625]",8.9375,1,1.2739294854261676,IL8-FULL,1,1,0.7378925463494832,0,0,7.2012457847595215
"[2.390625, 0.74609375]",1.5390625,1,1.168458672819037,IL8-FULL,1,1,0.6785685216298838,0,1,2.420311450958252
"[6.0, 9.375]",4.90625,1,1.4475924057782257,IL8-FULL,1,1,0.7724165663267654,0,2,4.962376594543457
"[12.125, 8.5]",5.96875,1,1.4087082905268467,IL8-FULL,1,1,0.814510172767223,0,3,5.2477827072143555
"[2.703125, 3.515625]",1.5703125,1,0.5903626466019937,IL8-FULL,1,1,0.2765948518532544,0,4,1.861159086227417
"[6.34375, 7.8125]",3.609375,1,1.2152467401648053,IL8-FULL,1,1,0.665700793835078,0,5,3.456645965576172
"[8.5, 2.90625]",6.875,1,1.234527538838586,IL8-FULL,1,1,0.7311412821373104,0,6,5.090447902679443
"[6.78125, 3.796875]",1.8671875,1,1.3335132436713546,IL8-FULL,1,1,0.616197384322796,0,7,3.2639660835266113
"[5.78125, 8.5625]",9.3125,1,2.0723807292586183,IL8-FULL,1,1,1.1777250654877724,0,8,8.284278869628906
"[11.25, 8.6875]",8.1875,1,1.4583424675396415,IL8-FULL,1,1,0.8609657519265275,0,9,7.9221930503845215
"[1.5703125, 10.4375]",1.46875,1,2.9072955811410655,IL8-FULL,2,2,2.155510892714655,0,0,2.1240410804748535
