alias,case_index,eff_margin_delta_il3_minus_il1,eff_nll_delta_il3_minus_il1,gen_margin_delta_il3_minus_il1,gen_max_nll_delta_il3_minus_il1,gen_nll_delta_il3_minus_il1,request_index,request_sha256,terminal_nll_delta_il3_minus_il1
llama3-8b-inst,1,2.5284881591796875,-0.0284881591796875,0.494140625,-0.3125,-0.337890625,0,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65,-0.046213665045797825
llama3-8b-inst,1,1.13427734375,-0.00927734375,1.713134765625,-0.026123046875,-0.025634765625,1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d,-0.03865855000913143
llama3-8b-inst,1,2.4788818359375,-0.0413818359375,1.2515869140625,-0.546875,-0.3453369140625,2,9e6706cd1a722d31b1dbfa3eba84ea86ef6cdb2c3c17d63b21f5cc7e76ef6e7d,-0.04998440947383642
llama3-8b-inst,1,1.753021240234375,-0.003021240234375,0.357421875,-0.15625,-0.123046875,3,90537afae22e47988418137733b2bba6fe78ac3f2cf3e8a710430cb784b35dc9,-0.015746422577649355
llama3-8b-inst,1,4.27752685546875,-0.02752685546875,3.62078857421875,-0.027008056640625,-0.02703857421875,4,a77982960263f0dfb48efd2b8425a460b3d20430fb61ce562f7e2ffbbd3561fd,-0.04454060550779104
llama3-8b-inst,1,3.04046630859375,-0.04046630859375,0.53515625,0.0625,-0.25390625,5,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,-0.05512602720409632
llama3-8b-inst,1,0.90997314453125,-0.09747314453125,0.798583984375,-0.625,-0.329833984375,6,042d6957cbf51889a68f9ec05692ae02395bbfb258ab0b145b56d98b06844fc8,-0.040385900530964136
llama3-8b-inst,1,2.0707244873046875,-0.0082244873046875,0.43701171875,-0.41015625,-0.21826171875,7,05dcb1cec09134d2efacd122ce09e701a8db7624e92b7aacd3194a7f4fdb415c,-0.02902784664183855
llama3-8b-inst,1,1.0064468383789062,-0.00644683837890625,0.405029296875,-0.40234375,-0.287841796875,8,db99bc188dd5a31df5e5c30a1acc5379a51ae45dff15346ebc2be90a1d016ffb,-0.027214896399527788
llama3-8b-inst,1,1.8935699462890625,-0.0185699462890625,0.858642578125,-0.53125,-0.327392578125,9,4042d278f9a0433f41f891fcbc391eee910a5adfea1cc73f3792d75698ffdd46,-0.032417266163975
