model,arm,outer_step_index,layer,field_source,pi,beta,suffix_mass,key_norm,q_norm,residual_norm_before,residual_norm_after,residual_reduction,update_norm,update_energy,update_energy_share,numeric_storage_cast_count,bf16_path_call_count,key_sha256,q_sha256
Llama3-8B-Instruct,C0-FH,0,4,ENTRY_FIELD_REUSE,0.19940073559324603,0.1994007355932461,0.9999999999999998,28.4580977190703,3.298148222074917,5.673822144152656,5.419912065205374,0.2539100789472828,0.3652996643605287,0.1334438447819149,1.9000196693462619e-06,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,0,5,CURRENT_PREFIX_KEY_Q,0.22541435189801723,0.28155703098859314,0.8005992644067538,34.38624173178206,2.8901729252576245,5.419912065205374,15.502133597809571,-10.082221532604198,3.4587423227055916,11.962898454874871,0.00017033189057015787,0,0,068e2b374ab1ce837c2f2e60b30d7aa4349e994baf492fc9cd778213a5f5c8e1,58215faa4fe92c39d06ecd554056ebbc419a720da53c1667f7136d9923a0180f
Llama3-8B-Instruct,C0-FH,0,6,CURRENT_PREFIX_KEY_Q,0.2130388437958041,0.3703832266159593,0.5751849125087366,37.50363973882744,2.7512479894467043,15.502133597809571,43.0238200356408,-27.52168643783123,12.27513304050859,150.6788911621857,0.002145418227654645,0,0,2328cdedffa2d0774af5a7a05e025f23644516c61cf497e729d95fc60958c397,51801c55679c4cc0a2bb8e3b1463ef66d7044764d71fd5e2d081cb792f49de03
Llama3-8B-Instruct,C0-FH,0,7,CURRENT_PREFIX_KEY_Q,0.17666020169814808,0.4878147713324588,0.3621460687129325,37.35738203336797,2.7502030676801508,43.0238200356408,132.29103708455628,-89.26721704891548,43.6055427588316,1901.4433592922906,0.027073408958708366,0,0,65b86ce40a8b6d6add57a9ba9c6514ee08a14f370e4bfd1c02ca9014dd0e56fc,b1736d454efe579582a85127312498b7e07e5d48570c559021c3ab6033a4ee05
Llama3-8B-Instruct,C0-FH,0,8,CURRENT_PREFIX_KEY_Q,0.1854858670147844,1.0,0.1854858670147844,38.79639147266912,2.5926256248772397,132.29103708455628,894.9629717161428,-762.6719346315865,261.09128069149335,68168.65685312418,0.9706089409033976,0,0,43fb67c0bbe2bcaad7911cded74faced69f4b684fbb41eb7bfecdc51f46e14ab,73ef6f52304738a47eb1f27c669690ed933f998573748896c01cfb7ad7b2c270
Llama3-8B-Instruct,C0-FH,1,4,ENTRY_FIELD_REUSE,0.0,0.0,1.0,28.4580977190703,3.298148222074917,127.81229838935897,127.81229838935897,0.0,0.0,0.0,0.0,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,1,5,CURRENT_PREFIX_KEY_Q,0.0,0.0,1.0,34.38624173178206,2.8901729252576245,127.81229838935897,127.81229838935897,0.0,0.0,0.0,0.0,0,0,068e2b374ab1ce837c2f2e60b30d7aa4349e994baf492fc9cd778213a5f5c8e1,58215faa4fe92c39d06ecd554056ebbc419a720da53c1667f7136d9923a0180f
Llama3-8B-Instruct,C0-FH,1,6,CURRENT_PREFIX_KEY_Q,0.0,0.0,1.0,37.50363973882744,2.7512479894467043,127.81229838935897,127.81229838935897,0.0,0.0,0.0,0.0,0,0,2328cdedffa2d0774af5a7a05e025f23644516c61cf497e729d95fc60958c397,51801c55679c4cc0a2bb8e3b1463ef66d7044764d71fd5e2d081cb792f49de03
Llama3-8B-Instruct,C0-FH,1,7,CURRENT_PREFIX_KEY_Q,1.0,1.0,1.0,37.35738203336797,2.7502030676801508,127.81229838935897,950.7066144673968,-822.8943160780378,265.70147500747794,70597.27382114941,1.0,0,0,65b86ce40a8b6d6add57a9ba9c6514ee08a14f370e4bfd1c02ca9014dd0e56fc,b1736d454efe579582a85127312498b7e07e5d48570c559021c3ab6033a4ee05
Llama3-8B-Instruct,C0-FH,1,8,CURRENT_PREFIX_KEY_Q,0.0,0.0,0.0,45.24440028173801,2.378483998480124,950.7066144673968,950.7066144673968,0.0,0.0,0.0,0.0,0,0,30d4b9a1bc6da4b35b64380449c5f0fb046ca1cc024d7ad2f6a3a1f7142ea40d,8d68a1ba8f26d97d9ee4ddc582351fdb3e2732f8be2b3e799e35a0f140a99409
Llama3-8B-Instruct,C0-FH,2,4,ENTRY_FIELD_REUSE,0.0,0.0,1.0,28.4580977190703,3.298148222074917,46.98067741298997,46.98067741298997,0.0,0.0,0.0,0.0,0,0,7eed86ec93b4f938eca6b83cf1e6af70dc329b5165c53d53a921ece58ed85715,7a3aec87860e51559e01f681bdda930762388078520b930b6854721b6a46e653
Llama3-8B-Instruct,C0-FH,2,5,CURRENT_PREFIX_KEY_Q,0.24071691756429428,0.24071691756429428,1.0,34.38624173178206,2.8901729252576245,46.98067741298997,641.8818464442377,-594.9011690312477,24.436400022055018,597.1376460378905,0.0008615058548387209,0,0,068e2b374ab1ce837c2f2e60b30d7aa4349e994baf492fc9cd778213a5f5c8e1,58215faa4fe92c39d06ecd554056ebbc419a720da53c1667f7136d9923a0180f
