model,arm,outer_step_index,lambda,oracle_residual_norm,waypoint_residual_norm,waypoint_injection_nll,alpha,W_nll_pre,W_nll_post,predicted_progress,actual_progress,negative_progress,target_objective_mean,target_objective_median,target_objective_p90,target_objective_max,final_vs_best_gap_mean,post_residual_norm,outer_update_energy,fallback_count,retry_count,native_storage_assignment_count,logical_outer_commit_count,current_key_q_refresh_count,oracle_target_sha256,waypoint_sha256,post_terminal_sha256
Llama3-8B-Instruct,C0-FH,0,0.125,45.39057713414039,5.67382214407511,8.547386077642441,1.8457105386257169,10.393096616268158,14.94961506843567,1.8457105386257169,-4.556518452167511,True,0.34254845776586224,0.16240957785091797,0.5672624957376924,6.019303895779813,0.013745827785675322,894.9629717161428,70232.87544587831,0,0,5,1,4,9143333332dd55dc4c8eaa39a1b469bb20965d4a047edcea64c19a74c9b75d04,308c1bd52544a2b076b08df5de5e69b96eb09831108a53f86611b37f69153969,7e2f01aa55ac10f4c13226db72edfb593b52d2acfc2fbeb48237e8b034272775
Llama3-8B-Instruct,C0-FH,1,0.14285714285714285,894.6860885981796,127.81229838933375,14.907878341674804,0.04173672676086504,14.94961506843567,12.479293603897094,0.04173672676086504,2.470321464538575,False,3.588375985368483,2.6793494703125287,8.251892907452124,13.027666597106219,0.0016794832611202004,950.7066144673968,70597.27382114941,0,0,5,1,4,851e5596139d859cecb288b9da9ca9af6b90d509b6fa601d1d56e16517fbbe74,160030d31d8a5fa25edeb8a57a1538c10a16695e1912a00942399e3e4853eaff,b96937d9cd1340d754ecd4a8707f507f9840899e8ca922264bda93fbb37a686f
Llama3-8B-Instruct,C0-FH,2,0.16666666666666666,281.8840646259069,46.98067741300667,12.334478220939637,0.14481538295745722,12.479293603897094,13.949513683319092,0.14481538295745722,-1.4702200794219973,True,7.154769265549562,6.689657654716008,10.942403975047045,14.01286520397513,0.0,2893.5564380842557,693132.4293201446,0,0,5,1,4,4e9996df2ee077f37181136f7b4a4ad056e6aa50adfb9a4d719988b3fbf2ae73,cf567387a3d43bad4f441e601963d111561d00b56eab1bb7b12938c99f0e6932,5d6a526a437060e9adbdb6977dd1aac4ca503972f614791483c96a0339c4ded7
Llama3-8B-Instruct,C0-FH,3,0.2,2810.183642832629,562.0367282725032,13.945867052078247,0.0036466312408443002,13.949513683319092,14.515456399917603,0.0036466312408443002,-0.5659427165985118,True,13.035360762548898,12.914618648124998,15.366434053972856,18.29100403387589,0.0015970679368278696,37659.23133894026,96703355.88497156,0,0,5,1,4,1c2c32401c91c15ea86c2b21b6fbadeb4c456ab7cfe38135a015a0e0a66c2d75,4844eaea471a2d89a55be3788e2d226294de21bd2b922e55e818598f98c408e7,5c913669e80a25e2d91131aac8ceb285537843ad8939152ac2f6e3998075e405
Llama3-8B-Instruct,C0-FH,4,0.25,39744.89019518666,9936.222550664681,14.515430040359497,2.6359558106037184e-05,14.515456399917603,14.085335597991943,2.6359558106037184e-05,0.4301208019256606,False,14.646556787926023,14.470884671307461,16.95419441941719,19.14742735300173,0.0013140122213098771,71547.9996881029,439897457.44869936,0,0,5,1,4,03c894042b7bcc2ce52c4dfbd58fc7ee2e56376def97d2e117da4b564fb0aad9,d7f416252dcfb3d0de569b244a5f239725451f41710a9e5964afd91df893ab34,885e98a6423e996473bbc89861b6763b5b1c1d3a21a5ac21eff1a39cd0851840
Llama3-8B-Instruct,C0-FH,5,0.3333333333333333,52013.237533054824,17337.745851116615,14.085357389450074,0.0,14.085335597991943,14.085335597991943,0.0,0.0,False,14.263743802285298,14.215170025757846,15.788598708815355,19.197605924805035,0.00260943820246462,,0.0,0,0,,,0,111e0d7b5e03784f69d5432929c9ecce2a9d8494832db57d5183bdac1440f5c1,29756961c9af8bac4199e6d6d139673c9c98f805159d7a3e1713e107cd952140,885e98a6423e996473bbc89861b6763b5b1c1d3a21a5ac21eff1a39cd0851840
Llama3-8B-Instruct,C0-FH,6,0.5,52013.04482815767,26006.522416525604,14.085367603302002,0.0,14.085335597991943,14.085335597991943,0.0,0.0,False,14.285284508628584,14.209854557245748,15.836259025940128,19.239863632489527,0.028853536307669323,,0.0,0,0,,,0,8d6db56e8bd6b7aa0999188106d3cf6fdf58e760472defe3903075b3c8c952f8,7c5cf7b507e5647a575f7770fe8ac47dd1be673833e1c4b3e4336b3ca4616f3c,885e98a6423e996473bbc89861b6763b5b1c1d3a21a5ac21eff1a39cd0851840
Llama3-8B-Instruct,C0-FH,7,1.0,52013.16580047167,52013.16580047167,14.081671800613403,0.0036637973785396127,14.085335597991943,13.928116884231567,0.0036637973785396127,0.15721871376037555,False,14.281170578336758,14.221609323385515,15.831813605188998,19.22599677571109,0.01817297372541958,1241347.1453301695,91634674413.97502,0,0,5,1,4,c92defac57af3cab95c3a3e39b69b004f494f00a5b787a0037fd38a67fe13062,c92defac57af3cab95c3a3e39b69b004f494f00a5b787a0037fd38a67fe13062,dc8fe094d9c2e20a954685e73c3b107914e5a137cb46635b5bf1c5abae643c46
Llama3-8B-Instruct,C1-FH,0,0.125,45.39057713414039,5.67382214407511,8.547386077642441,1.8457105386257169,10.393096616268158,14.796017789840699,1.8457105386257169,-4.40292117357254,True,0.34254845776586224,0.16240957785091797,0.5672624957376924,6.019303895779813,0.013745827785675322,937.0795039792773,76100.01995253886,0,0,5,1,4,9143333332dd55dc4c8eaa39a1b469bb20965d4a047edcea64c19a74c9b75d04,308c1bd52544a2b076b08df5de5e69b96eb09831108a53f86611b37f69153969,abec6cef4602008961dd3ed63c0e72f7d76820c13cd61df73658851414e69e92
Llama3-8B-Instruct,C1-FH,1,0.14285714285714285,936.65151559788,133.80735920056713,14.757709732055664,0.03830805778503432,14.796017789840699,14.16995906829834,0.03830805778503432,0.6260587215423588,False,4.23356208687021,3.4739939000636504,8.673071237621448,12.714155167256875,0.0008432448094826159,17328.20062692544,27984697.673341356,0,0,5,1,4,29e76094351001f9af498fafa9280e11be609b3dd3973fa2e3b2700913c90e91,7d9d846fd75b20e3da5a44dcf796425d7a089e153d7ad5cd6f6e786640d25147,6213981a7f79f2eddd06081d7e43073d23fbc961a420808f9c1ee3c7cca16e15
