cell_id,stage,arm,execution_kind,start,through_batch,gate,commit_to_chain,purpose
T0,T0,SHARED,technical_checks,W0,0,source_and_input_bindings,false,Writer_response_gradient_basis_and_B1_alias_parity
B1_N4,B1,N4,execute_or_verified_reuse,W0,1,T0,true,Native_baseline
B1_EN,B1,EN_KL_Q,execute_or_verified_reuse,shared_W0_B1_native,1,T0,false,Historical_KL_algorithm_comparator
B1_LINE,B1,DEC_LINE,coefficient_control,shared_W0_B1_native,1,T0,false,Decision_objective_with_single_direction
B1_CUM,B1,DEC_MODES_CUM,primary_candidate,shared_W0_B1_native,1,T0,true,Joint_direction_coefficients
B1_STEP,B1,DEC_MODES_STEP,alias_no_model_execution,B1_CUM,1,B1_STEP_equals_CUM,true,Identical_cold_problem_independent_state_clone
B1_MECH,MECHANISM,OBSERVER_ONLY,bounded_suffix_interventions,sealed_B1_native_and_selected,1,B1_selection_sealed,false,Global_mode_effect_and_norm_rank_matched_controls
S3_N4,S3,N4,continue_from_W0_prefix,N4_B1_commit,3,B1_to_S3,true,Native_short_sequence
S3_STEP,S3,DEC_MODES_STEP,continue_from_W0_prefix,STEP_B1_commit,3,B1_to_S3,true,Increment_direction_short_sequence
S3_CUM,S3,DEC_MODES_CUM,continue_from_W0_prefix,CUM_B1_commit,3,B1_to_S3,true,Cumulative_direction_short_sequence
B2_PAIR_STEP,PAIRED_B2,DEC_MODES_STEP,shadow_same_entry,N4_B2_own_native,2,B1_to_S3,false,Isolate_extra_direction_from_trajectory
B2_PAIR_CUM,PAIRED_B2,DEC_MODES_CUM,shadow_same_entry,N4_B2_own_native,2,B1_to_S3,false,Paired_cumulative_extra_direction
S10_N4,S10,N4,continue_from_W0_prefix,N4_B3_commit,10,S3_to_S10,true,Native_1000_edits
S10_STEP,S10,DEC_MODES_STEP,continue_from_W0_prefix,STEP_B3_commit,10,S3_to_S10,true,Increment_1000_edits
S10_CUM,S10,DEC_MODES_CUM,continue_from_W0_prefix,CUM_B3_commit,10,S3_to_S10,true,Cumulative_1000_edits
COND_FUNCTIONAL,CONDITIONAL,DEC_FUNCTIONAL,separate_version_cold_diagnostic,W0,1,Declared_hard_lock_diagnostic_only,false,Finite_functional_space_not_primary
