arm,batch,request_start,request_stop,entry,planned_native_fit,planned_reference_gradient,planned_candidate_upper_bound
EN_ADAPT_H_RES,1,0,100,W0_M0,1,1,2
EN_ADAPT_H_RES,2,100,200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,3,200,300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,4,300,400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,5,400,500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,6,500,600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,7,600,700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,8,700,800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,9,800,900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,10,900,1000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,11,1000,1100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,12,1100,1200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,13,1200,1300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,14,1300,1400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,15,1400,1500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,16,1500,1600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,17,1600,1700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,18,1700,1800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,19,1800,1900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,20,1900,2000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,21,2000,2100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,22,2100,2200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,23,2200,2300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,24,2300,2400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,25,2400,2500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,26,2500,2600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,27,2600,2700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,28,2700,2800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,29,2800,2900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,30,2900,3000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,31,3000,3100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,32,3100,3200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,33,3200,3300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,34,3300,3400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,35,3400,3500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,36,3500,3600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,37,3600,3700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,38,3700,3800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,39,3800,3900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,40,3900,4000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,41,4000,4100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,42,4100,4200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,43,4200,4300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,44,4300,4400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,45,4400,4500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,46,4500,4600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,47,4600,4700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,48,4700,4800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,49,4800,4900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,50,4900,5000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,51,5000,5100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,52,5100,5200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,53,5200,5300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,54,5300,5400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,55,5400,5500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,56,5500,5600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,57,5600,5700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,58,5700,5800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,59,5800,5900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,60,5900,6000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,61,6000,6100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,62,6100,6200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,63,6200,6300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,64,6300,6400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,65,6400,6500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,66,6500,6600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,67,6600,6700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,68,6700,6800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,69,6800,6900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,70,6900,7000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,71,7000,7100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,72,7100,7200,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,73,7200,7300,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,74,7300,7400,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,75,7400,7500,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,76,7500,7600,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,77,7600,7700,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,78,7700,7800,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,79,7800,7900,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,80,7900,8000,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,81,8000,8100,OWN_PREVIOUS_RAM,1,1,2
EN_ADAPT_H_RES,82,8100,8200,OWN_PREVIOUS_RAM,1,1,2
