cell_id,stage,depends_on,scope,device,result_kind,gate,status,dependency_mode,requires_components
A00,input_binding,,independent input component receipts; optional/later assets do not block archival subset,CPU,input_receipt,component_status_collection,PLANNED_NOT_RUN,none,
A01,functional_ledger,A00,all current100 and seen12; overwrite strata,CPU,observed_archival,row_state_and_identity_join,PLANNED_NOT_RUN,component_success,archival_eval|sealed_order|checkpoint_state
B00,weight_history,A00,"W0+12states,11nonzero-history intervals",CPU,observed_weights_and_trace_estimates,finite_hash_and_MC_precision,PLANNED_NOT_RUN,component_success,checkpoint_state|W0_L4
C00,prefix_parity,A00,B1/B2 native inputs + first32 of probe512,GPU,feature_cache,original_environment_and_key_parity,PLANNED_NOT_RUN,component_success,W0_L4|full_model_runtime|source_closure|P4|sealed_order
C01,B1_reproduction,C00|B00|A01,W0 and B1 full first100 evaluation; direct native B1,GPU,actual_vs_reconstructed,native_writer_evaluator_and_h0plusEK,PLANNED_NOT_RUN,all_success,target_B001
C02,key_bank,C01,native700 + fixedprobe512; cached features reused,GPU,feature_cache,all_ids_context_weights_and_shapes,PLANNED_NOT_RUN,all_success,
O000,history_operator_pilot,C02,M000; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O001,history_operator_pilot,C02,M001; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O010,history_operator_pilot,C02,M010; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O100,history_operator_pilot,C02,M100; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O005,history_operator_extension,C02|O000|O001|O010|O100,M005; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O020,history_operator_extension,C02|O000|O001|O010|O100,M020; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O030,history_operator_extension,C02|O000|O001|O010|O100,M030; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O040,history_operator_extension,C02|O000|O001|O010|O100,M040; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O050,history_operator_extension,C02|O000|O001|O010|O100,M050; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O060,history_operator_extension,C02|O000|O001|O010|O100,M060; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O070,history_operator_extension,C02|O000|O001|O010|O100,M070; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O080,history_operator_extension,C02|O000|O001|O010|O100,M080; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
O090,history_operator_extension,C02|O000|O001|O010|O100,M090; fixedprobe512 and reusable native RHS bank,GPU,raw_operator,solve_residual_and_projector_flags,PLANNED_NOT_RUN,all_success,
N001,native_demand_modes,O000|C01,entry 0 -> saved z B1; 100 requests,GPU,actual_endpoint_validated_B1,dense_factor_parity,PLANNED_NOT_RUN,all_success,target_B001
N002,native_demand_modes,O001|C01,entry 1 -> saved z B2; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,PLANNED_NOT_RUN,all_success,target_B002
N006,native_demand_modes,O005|C01,entry 5 -> saved z B6; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,PLANNED_NOT_RUN,all_success,target_B006
N011,native_demand_modes,O010|C01,entry 10 -> saved z B11; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,PLANNED_NOT_RUN,all_success,target_B011
N021,native_demand_modes,O020|C01,entry 20 -> saved z B21; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,PLANNED_NOT_RUN,all_success,target_B021
N051,native_demand_modes,O050|C01,entry 50 -> saved z B51; 100 requests,GPU,reconstructed_native,commit_and_current_consistency,PLANNED_NOT_RUN,all_success,target_B051
N091,native_demand_modes,O090|C01,entry 90 -> saved z B91; 100 requests,GPU,reconstructed_native,dense_factor_parity,PLANNED_NOT_RUN,all_success,target_B091
E00,algebra_controls,O000|O001|O010|O100|N001|N002,"fixed K/R B1,B2 x pilot4; residual permutation20",CPU_OR_GPU,counterfactual_algebra,not_factual_edit_or_method_arm,PLANNED_NOT_RUN,all_success,
F00,activation_bookkeeping,C02|B00,"fixed probe512; exact E/K,D/K and cross terms",CPU_OR_GPU,actual_interval_responses,fixed_keys_precision_and_interval_units,PLANNED_NOT_RUN,all_success,
G001_010,suffix_mechanism,C01|A01|F00,"1->10: lost16+retained16; s0,.5,1 and entry gradient",GPU,outcome_selected_diagnostic,historical_batching_and_physical_vs_cached_parity,PLANNED_NOT_RUN,all_success,
