cohort_id,cohort_index,start,anchor,request_count,prompt_count,batch_count,later_endpoint_count,active_at_anchor,active_at_100,same_batch_conflict_requests,equal_size_temporal_primary,case_order_sha256
U000_001,0,0,1,100,300,1,11,100,95,0,False,6ce11aa6e5118a6209d2d3c0c193f32675e7223fbbf1de5d925d2cdf38db672a
U001_005,1,1,5,400,1200,4,10,400,392,0,False,be79cac4e537fc778b635240df496acb358af2a89537422944948df980048c13
U005_010,2,5,10,500,1500,5,9,500,482,0,False,391614adf316146ea9e8d0e7322fd559ec7f194533ff5222812cb3559e651573
U010_020,3,10,20,1000,3000,10,8,995,963,0,True,0a3c39d4a535c0e8bd7dcac8cb89d7584d9aa2bc9863de7d6a933eb3de6b446e
U020_030,4,20,30,1000,3000,10,7,995,970,0,True,a9b42f5f71a37c12ec78c2d705445cc6112eccb90267a8304abbfa634f754b1e
U030_040,5,30,40,1000,3000,10,6,997,976,2,True,1fc2d7e20d71a89fa3cd79f724369aa813429266e51709b0fb6532d4f10610f2
U040_050,6,40,50,1000,3000,10,5,999,980,0,True,fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70
U050_060,7,50,60,1000,3000,10,4,993,968,2,True,d469cb013fcecbbc621d866b4ccdc44f5663a5cc21a7da493976b7a8a8d7ecf7
U060_070,8,60,70,1000,3000,10,3,998,987,2,True,bbd565083c7ddd57ccb27658d9588f09f0629307e97ec804cc0e77ad9684c8e7
U070_080,9,70,80,1000,3000,10,2,998,987,0,True,c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21
U080_090,10,80,90,1000,3000,10,1,999,992,0,True,12f627a74acf847d72c6fb66227c967b5f59d94ce6f34024d6265e30bcd31845
U090_100,11,90,100,1000,3000,10,0,992,992,4,False,8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba
