state_id,family,retained_interval_mask,kind,actual_checkpoint,construction_endpoint,removed_cohort_indices,used_in_main,used_in_pilot,used_in_pairs
BASE_ALPHAEDIT__001,BASE_ALPHAEDIT,001,ACTUAL,1,1,,True,True,False
W0,SHARED,000,ACTUAL,0,1,0,True,True,False
BASE_ALPHAEDIT__003,BASE_ALPHAEDIT,003,ACTUAL,5,5,,True,True,False
BASE_ALPHAEDIT__002,BASE_ALPHAEDIT,002,COUNTERFACTUAL,,5,0,True,True,False
BASE_ALPHAEDIT__007,BASE_ALPHAEDIT,007,ACTUAL,10,10,,True,True,False
BASE_ALPHAEDIT__006,BASE_ALPHAEDIT,006,COUNTERFACTUAL,,10,0,True,True,False
BASE_ALPHAEDIT__00f,BASE_ALPHAEDIT,00f,ACTUAL,20,20,,True,True,False
BASE_ALPHAEDIT__00e,BASE_ALPHAEDIT,00e,COUNTERFACTUAL,,20,0,True,True,False
BASE_ALPHAEDIT__01f,BASE_ALPHAEDIT,01f,ACTUAL,30,30,,True,True,False
BASE_ALPHAEDIT__01e,BASE_ALPHAEDIT,01e,COUNTERFACTUAL,,30,0,True,False,False
BASE_ALPHAEDIT__03f,BASE_ALPHAEDIT,03f,ACTUAL,40,40,,True,True,False
BASE_ALPHAEDIT__03e,BASE_ALPHAEDIT,03e,COUNTERFACTUAL,,40,0,True,False,False
BASE_ALPHAEDIT__07f,BASE_ALPHAEDIT,07f,ACTUAL,50,50,,True,True,False
BASE_ALPHAEDIT__07e,BASE_ALPHAEDIT,07e,COUNTERFACTUAL,,50,0,True,True,False
BASE_ALPHAEDIT__0ff,BASE_ALPHAEDIT,0ff,ACTUAL,60,60,,True,True,False
BASE_ALPHAEDIT__0fe,BASE_ALPHAEDIT,0fe,COUNTERFACTUAL,,60,0,True,False,False
BASE_ALPHAEDIT__1ff,BASE_ALPHAEDIT,1ff,ACTUAL,70,70,,True,True,False
BASE_ALPHAEDIT__1fe,BASE_ALPHAEDIT,1fe,COUNTERFACTUAL,,70,0,True,False,False
BASE_ALPHAEDIT__3ff,BASE_ALPHAEDIT,3ff,ACTUAL,80,80,,True,False,False
BASE_ALPHAEDIT__3fe,BASE_ALPHAEDIT,3fe,COUNTERFACTUAL,,80,0,True,False,False
BASE_ALPHAEDIT__7ff,BASE_ALPHAEDIT,7ff,ACTUAL,90,90,,True,True,False
BASE_ALPHAEDIT__7fe,BASE_ALPHAEDIT,7fe,COUNTERFACTUAL,,90,0,True,False,False
BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT,fff,ACTUAL,100,100,,True,True,True
BASE_ALPHAEDIT__ffe,BASE_ALPHAEDIT,ffe,COUNTERFACTUAL,,100,0,True,True,False
BASE_ALPHAEDIT__005,BASE_ALPHAEDIT,005,COUNTERFACTUAL,,10,1,True,False,False
BASE_ALPHAEDIT__00d,BASE_ALPHAEDIT,00d,COUNTERFACTUAL,,20,1,True,False,False
